,apca_1,apca_2,apca_3,apca_4,apca_5,apca_6,apca_7,apca_8,apca_9,apca_10,apca_11,apca_12,apca_13,apca_14,apca_15,apca_16,apca_17,apca_18,apca_19,apca_20,apca_21,apca_22,apca_23,apca_24
0_ADT,-1.546213663,-1.05607834,-0.319342469,0.556128825,1.133282135,-3.46190907,-0.636397815,-0.697113631,-0.15623767,-0.129117762,0.438268037,0.484800146,0.022578967,0.039228728,0.284971458,-0.05987775,-0.637801502,-0.389392939,0.726696467,0.447332171,0.306822266,-0.565943245,0.030645059,-0.370589115
2_ADT,3.287853539,0.25917672,0.119119523,-0.719962193,1.76881914,0.017899727,-1.258678509,0.088007291,0.429800445,0.967143888,-0.733466125,-0.394635774,-1.281689489,-0.09693877,-0.060252586,0.210637024,-0.313193284,0.227146713,0.177734978,0.380567927,0.283091947,0.155514596,0.035293198,0.034476041
3_ADT,3.100410387,2.393700399,-0.975868495,1.052067924,0.089327995,0.017607026,-0.462680591,0.448758165,0.709851881,0.654735013,-0.12642028,0.216449145,1.067101699,0.097647415,-0.001231692,0.343390561,-0.053044183,0.196965898,0.054188653,-0.220243262,-0.160405012,-0.125253098,0.000856765,0.096888178
7_ADT,-3.178049587,1.615322123,-0.423054406,-0.61946041,-0.241046406,0.656033907,-0.014883245,-0.785778811,-1.587811509,0.178064871,-1.018811911,-0.692066555,-0.822201966,0.221419956,0.113658701,-0.339255319,-0.172676822,-0.289191571,-0.339431969,0.103003166,-0.091407757,-0.30191613,-0.156964703,0.110655303
10_ADT,2.51324915,-1.305709921,0.79620558,-1.595608507,-0.734048609,0.207790742,0.746586748,0.566838416,-0.908056043,0.18331016,0.446270855,0.149093868,-0.132712292,-0.085216371,-0.259298001,-0.356345635,0.126192976,0.286759901,0.074250192,0.370387151,0.615621548,0.267617688,0.12384897,-0.169105106
11_ADT,-1.176038,-0.788743542,-0.482060842,0.653774057,1.012118542,-1.150828949,-0.313992245,-0.277102253,-1.219637263,-0.325671732,1.087553797,0.00644601,0.022947868,0.147144114,-1.67765723,-0.046054051,-0.046372628,0.362960968,0.96168085,0.780951266,-0.787081111,-0.299315241,0.094554034,-0.31748768
14_ADT,-3.214061918,2.45528237,-0.62905146,-0.091082085,-1.027751381,0.748532737,-0.757856296,0.191643364,-0.329738834,-0.320013147,0.487560366,0.669583615,-0.075480534,0.149155508,-0.011355524,-0.205428366,-0.265081296,0.378025779,-0.129616267,-0.06254856,-0.182885331,-0.344294204,-0.033006155,-0.112683399
17_ADT,-1.167374759,-0.580475845,1.102854651,-2.032886723,-1.475590769,0.04601044,0.141289435,-0.600675354,-0.88699341,0.353946529,-2.662068424,-1.590817601,0.790501574,0.477868447,0.527781955,0.882395635,0.039672748,0.005636858,-0.0015707,0.841246801,-0.7823268,-0.342054131,-0.000837133,0.253173169
19_ADT,-0.764387795,1.577376763,1.364760998,-0.526965699,-4.830535803,-2.051978449,-2.493528845,2.467346414,0.008459487,1.256881514,-3.215512182,-1.311281541,1.783516322,-0.085831144,-0.641394481,1.417798222,0.279902547,0.599122744,0.37064762,-0.41700592,0.356841206,-1.370881841,0.417124936,0.470914404
20_ADT,3.400234956,2.529019305,-0.891152422,1.111798885,-0.526519936,0.002810731,0.654826574,0.593738074,-0.069541411,0.927113524,-0.041066385,1.343407535,-0.998548724,-0.615497633,-0.828888938,1.079324871,-0.122831138,-0.486531282,-0.403253764,-0.213926304,0.377930618,-0.297733109,0.150726853,0.196752723
