Index,L1,L2,L1_02
0_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
1_ADT,T cell,gdT,T cell_ADT
2_ADT,T cell,CD4 Naive,T cell_ADT
3_ADT,T cell,CD4 Memory,T cell_ADT
4_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
5_ADT,B cell,Naive B,B cell_ADT
6_ADT,T cell,CD8 Naive,T cell_ADT
7_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
8_ADT,B cell,Naive B,B cell_ADT
9_ADT,T cell,CD4 Naive,T cell_ADT
10_ADT,T cell,CD8 Naive,T cell_ADT
11_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
12_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
13_ADT,T cell,CD8 Naive,T cell_ADT
14_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
15_ADT,T cell,CD8 Naive,T cell_ADT
16_ADT,T cell,Treg,T cell_ADT
17_ADT,T cell,CD8 Effector_2,T cell_ADT
18_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
19_ADT,T cell,CD8 Effector_2,T cell_ADT
20_ADT,T cell,CD4 Memory,T cell_ADT
21_ADT,T cell,CD4 Naive,T cell_ADT
22_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
23_ADT,T cell,CD4 Naive,T cell_ADT
24_ADT,T cell,CD4 Memory,T cell_ADT
25_ADT,NK,NK,NK_ADT
26_ADT,T cell,CD8 Naive,T cell_ADT
27_ADT,T cell,CD4 Naive,T cell_ADT
28_ADT,Progenitor cells,GMP,Progenitor cells_ADT
29_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
30_ADT,Progenitor cells,Prog_RBC,Progenitor cells_ADT
31_ADT,T cell,CD8 Effector_1,T cell_ADT
32_ADT,T cell,CD4 Memory,T cell_ADT
33_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
34_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
35_ADT,T cell,CD8 Naive,T cell_ADT
36_ADT,Mono/DC,CD14 Mono,Mono/DC_ADT
