Index,Flag,L1,L2,L1_02
0_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
1_ADT,1,T cell,gdT,T cell_ADT
2_ADT,1,T cell,CD4 Naive,T cell_ADT
3_ADT,1,T cell,CD4 Memory,T cell_ADT
5_ADT,1,B cell,Naive B,B cell_ADT
7_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
10_ADT,1,T cell,CD8 Naive,T cell_ADT
11_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
12_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
14_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
17_ADT,1,T cell,CD8 Effector_2,T cell_ADT
18_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
19_ADT,1,T cell,CD8 Effector_2,T cell_ADT
20_ADT,1,T cell,CD4 Memory,T cell_ADT
23_ADT,1,T cell,CD4 Naive,T cell_ADT
25_ADT,1,NK,NK,NK_ADT
27_ADT,1,T cell,CD4 Naive,T cell_ADT
28_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
30_ADT,1,Progenitor cells,Prog_RBC,Progenitor cells_ADT
32_ADT,1,T cell,CD4 Memory,T cell_ADT
36_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
37_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
39_ADT,1,Mono/DC,CD16 Mono,Mono/DC_ADT
40_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
41_ADT,1,Progenitor cells,GMP,Progenitor cells_ADT
43_ADT,1,T cell,CD4 Memory,T cell_ADT
46_ADT,1,T cell,CD4 Memory,T cell_ADT
48_ADT,1,NK,NK,NK_ADT
56_ADT,1,Mono/DC,pDC,Mono/DC_ADT
57_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
61_ADT,1,T cell,CD4 Naive,T cell_ADT
62_ADT,1,T cell,MAIT,T cell_ADT
63_ADT,1,T cell,CD8 Naive,T cell_ADT
65_ADT,1,B cell,Memory B,B cell_ADT
67_ADT,1,T cell,CD4 Naive,T cell_ADT
68_ADT,1,T cell,CD8 Naive,T cell_ADT
69_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
70_ADT,1,T cell,CD4 Memory,T cell_ADT
71_ADT,1,B cell,Naive B,B cell_ADT
72_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
74_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
76_ADT,1,T cell,CD8 Naive,T cell_ADT
78_ADT,1,Mono/DC,CD14 Mono,Mono/DC_ADT
79_ADT,1,T cell,gdT,T cell_ADT
85_ADT,1,T cell,MAIT,T cell_ADT
