Index,L1,L2
0,Progenitor cells,Prog_RBC
1,T cell,gdT
2,T cell,CD4 Naive
3,T cell,CD4 Memory
4,Mono/DC,CD14 Mono
5,B cell,Naive B
6,T cell,CD8 Naive
7,Mono/DC,CD14 Mono
8,B cell,Naive B
9,T cell,CD4 Naive
10,T cell,CD8 Naive
11,Progenitor cells,Prog_RBC
12,Mono/DC,CD14 Mono
13,T cell,CD8 Naive
14,Mono/DC,CD14 Mono
15,T cell,CD8 Naive
16,T cell,Treg
17,T cell,CD8 Effector_2
18,Mono/DC,CD14 Mono
19,T cell,CD8 Effector_2
20,T cell,CD4 Memory
21,T cell,CD4 Naive
22,Mono/DC,CD14 Mono
23,T cell,CD4 Naive
24,T cell,CD4 Memory
25,NK,NK
26,T cell,CD8 Naive
27,T cell,CD4 Naive
28,Progenitor cells,GMP
29,Mono/DC,CD14 Mono
30,Progenitor cells,Prog_RBC
31,T cell,CD8 Effector_1
32,T cell,CD4 Memory
33,Mono/DC,CD14 Mono
34,Mono/DC,CD14 Mono
35,T cell,CD8 Naive
36,Mono/DC,CD14 Mono
37,Mono/DC,CD14 Mono
38,T cell,CD4 Memory
39,Mono/DC,CD16 Mono
40,Progenitor cells,GMP
41,Progenitor cells,GMP
42,Mono/DC,CD14 Mono
43,T cell,CD4 Memory
44,Progenitor cells,Prog_RBC
45,Mono/DC,CD14 Mono
46,T cell,CD4 Memory
47,T cell,CD4 Naive
48,NK,NK
49,Mono/DC,pDC
50,T cell,CD4 Memory
51,T cell,CD4 Memory
52,T cell,CD4 Naive
53,T cell,CD8 Memory_1
54,T cell,CD8 Naive
55,T cell,CD8 Naive
56,Mono/DC,pDC
57,Mono/DC,CD14 Mono
58,Mono/DC,CD14 Mono
59,T cell,CD4 Naive
60,Mono/DC,CD16 Mono
61,T cell,CD4 Naive
62,T cell,MAIT
63,T cell,CD8 Naive
64,Mono/DC,CD14 Mono
65,B cell,Memory B
66,Mono/DC,CD14 Mono
67,T cell,CD4 Naive
68,T cell,CD8 Naive
69,Mono/DC,CD14 Mono
70,T cell,CD4 Memory
71,B cell,Naive B
72,Mono/DC,CD14 Mono
73,T cell,CD8 Effector_2
74,Mono/DC,CD14 Mono
75,T cell,CD8 Naive
76,T cell,CD8 Naive
77,T cell,CD4 Memory
78,Mono/DC,CD14 Mono
79,T cell,gdT
80,T cell,CD8 Effector_2
81,T cell,CD4 Memory
82,Mono/DC,cDC2
83,T cell,CD8 Naive
84,T cell,CD4 Memory
85,T cell,MAIT
86,T cell,CD8 Naive
87,T cell,CD8 Memory_1
88,NK,NK
89,B cell,Naive B
90,NK,NK
91,T cell,CD4 Naive
92,Mono/DC,CD14 Mono
93,Mono/DC,cDC2
94,T cell,CD4 Naive
95,T cell,CD4 Memory
96,Progenitor cells,GMP
97,Mono/DC,CD14 Mono
98,T cell,CD4 Naive
99,B cell,Naive B
100,NK,NK
101,Mono/DC,CD14 Mono
102,T cell,CD8 Naive
103,T cell,CD4 Memory
104,T cell,CD4 Memory
105,Mono/DC,CD14 Mono
106,T cell,CD4 Memory
107,T cell,CD4 Naive
108,B cell,Memory B
109,T cell,CD4 Naive
110,Progenitor cells,Prog_RBC
111,T cell,CD4 Naive
112,T cell,CD4 Memory
113,T cell,CD8 Memory_1
114,Mono/DC,CD14 Mono
115,T cell,CD4 Memory
116,T cell,CD4 Naive
117,NK,CD56 bright NK
118,Mono/DC,pDC
119,T cell,CD4 Naive
120,B cell,Memory B
121,T cell,CD4 Memory
122,Progenitor cells,GMP
123,T cell,CD8 Naive
124,Mono/DC,CD14 Mono
125,T cell,CD8 Naive
126,T cell,CD4 Memory
127,Mono/DC,CD14 Mono
128,T cell,CD4 Naive
129,T cell,CD4 Memory
130,Mono/DC,CD14 Mono
131,T cell,CD8 Naive
132,T cell,CD4 Naive
133,T cell,CD4 Naive
134,Progenitor cells,Prog_RBC
135,T cell,CD4 Naive
136,T cell,CD4 Naive
137,NK,NK
138,T cell,CD4 Memory
139,T cell,CD8 Effector_1
140,T cell,CD4 Naive
141,B cell,Memory B
142,Mono/DC,pDC
143,T cell,CD4 Naive
144,T cell,CD4 Naive
145,Mono/DC,CD14 Mono
146,Progenitor cells,Prog_B 2
147,T cell,MAIT
148,T cell,CD8 Naive
149,Mono/DC,cDC2
150,Mono/DC,CD14 Mono
151,T cell,CD4 Memory
152,Mono/DC,CD14 Mono
153,T cell,CD8 Naive
154,Mono/DC,CD14 Mono
155,T cell,CD4 Memory
156,B cell,Naive B
157,Mono/DC,CD14 Mono
158,NK,NK
159,B cell,Naive B
160,Progenitor cells,Prog_RBC
161,Progenitor cells,Prog_RBC
162,B cell,Naive B
163,Mono/DC,CD14 Mono
164,Mono/DC,CD14 Mono
165,T cell,CD4 Naive
166,Progenitor cells,Prog_B 2
167,T cell,MAIT
168,Progenitor cells,Prog_Mk
169,Mono/DC,CD14 Mono
170,B cell,Memory B
171,B cell,Memory B
172,T cell,CD4 Memory
173,T cell,CD8 Effector_1
174,Mono/DC,CD14 Mono
175,Mono/DC,CD14 Mono
176,Progenitor cells,Prog_RBC
177,NK,NK
178,T cell,CD8 Naive
179,T cell,CD8 Naive
180,NK,NK
181,Mono/DC,cDC2
182,Mono/DC,CD14 Mono
183,T cell,CD4 Naive
184,T cell,CD4 Naive
185,Progenitor cells,GMP
186,T cell,CD4 Naive
187,Mono/DC,CD14 Mono
188,T cell,CD8 Naive
189,Mono/DC,CD14 Mono
190,T cell,Treg
191,Mono/DC,CD14 Mono
192,T cell,CD8 Naive
193,T cell,CD4 Naive
194,Mono/DC,cDC2
195,T cell,gdT
196,T cell,CD4 Memory
197,T cell,CD8 Memory_2
198,B cell,Naive B
199,Mono/DC,CD14 Mono
200,Mono/DC,CD14 Mono
201,B cell,Plasmablast
202,T cell,CD4 Memory
203,T cell,CD4 Memory
204,Mono/DC,CD14 Mono
205,NK,NK
206,T cell,CD8 Naive
207,Mono/DC,CD14 Mono
208,T cell,CD4 Naive
209,Mono/DC,CD14 Mono
210,T cell,CD8 Naive
211,T cell,CD8 Effector_1
212,Progenitor cells,HSC
213,B cell,Naive B
214,T cell,CD8 Naive
215,Progenitor cells,GMP
216,T cell,CD4 Naive
217,NK,NK
218,T cell,CD8 Effector_1
219,T cell,CD8 Naive
220,B cell,Naive B
221,B cell,Naive B
222,T cell,CD8 Naive
223,Progenitor cells,LMPP
224,T cell,CD8 Memory_2
225,T cell,CD8 Naive
226,T cell,CD4 Memory
227,T cell,CD4 Memory
228,Mono/DC,CD16 Mono
229,T cell,CD8 Naive
230,T cell,CD4 Memory
231,B cell,Naive B
232,Mono/DC,CD14 Mono
233,T cell,CD8 Memory_2
234,Mono/DC,pDC
235,T cell,CD8 Naive
236,T cell,CD4 Memory
237,T cell,CD8 Naive
238,Progenitor cells,Prog_DC
239,T cell,CD8 Memory_2
240,Mono/DC,CD14 Mono
241,T cell,CD4 Memory
242,B cell,Naive B
243,Progenitor cells,LMPP
244,Mono/DC,CD14 Mono
245,T cell,CD4 Naive
246,Mono/DC,CD14 Mono
247,Progenitor cells,Prog_RBC
248,Progenitor cells,Prog_RBC
249,Progenitor cells,Prog_RBC
250,Mono/DC,CD14 Mono
251,T cell,CD8 Naive
252,B cell,Naive B
253,Mono/DC,CD14 Mono
254,Mono/DC,CD14 Mono
255,T cell,CD4 Naive
256,Progenitor cells,Prog_B 1
257,B cell,Memory B
258,T cell,CD4 Memory
259,Progenitor cells,Prog_RBC
260,T cell,CD8 Naive
261,T cell,CD4 Memory
262,T cell,CD4 Naive
263,T cell,CD4 Memory
264,B cell,Naive B
265,Mono/DC,CD14 Mono
266,T cell,gdT
267,T cell,CD4 Memory
268,T cell,CD4 Memory
269,B cell,Naive B
270,Mono/DC,CD14 Mono
271,Mono/DC,CD14 Mono
272,T cell,CD8 Naive
273,T cell,CD8 Naive
274,Mono/DC,CD14 Mono
275,Progenitor cells,GMP
276,Progenitor cells,HSC
277,B cell,Naive B
278,Mono/DC,CD14 Mono
279,Progenitor cells,Prog_RBC
280,T cell,CD8 Naive
281,T cell,MAIT
282,B cell,Memory B
283,T cell,CD4 Naive
284,B cell,Memory B
285,Progenitor cells,GMP
286,Progenitor cells,Prog_B 1
287,T cell,CD8 Naive
288,T cell,CD4 Memory
289,T cell,CD8 Effector_1
290,B cell,Memory B
291,B cell,Memory B
292,Progenitor cells,Prog_RBC
293,T cell,CD4 Naive
294,Mono/DC,CD14 Mono
295,T cell,CD4 Naive
296,NK,NK
297,T cell,CD8 Effector_2
298,T cell,CD4 Memory
299,Mono/DC,pDC
300,T cell,CD8 Effector_1
301,T cell,CD8 Naive
302,T cell,CD8 Naive
303,B cell,Memory B
304,T cell,CD8 Naive
305,B cell,Naive B
306,B cell,Naive B
307,NK,NK
308,NK,NK
309,Progenitor cells,Prog_B 1
310,Mono/DC,CD14 Mono
311,B cell,Memory B
312,T cell,gdT
313,T cell,CD4 Naive
314,Mono/DC,CD14 Mono
315,B cell,Memory B
316,Mono/DC,CD14 Mono
317,T cell,CD4 Naive
318,Progenitor cells,GMP
319,B cell,Naive B
320,Mono/DC,CD14 Mono
321,Mono/DC,CD14 Mono
322,Mono/DC,CD14 Mono
323,T cell,CD4 Naive
324,T cell,CD8 Naive
325,T cell,CD4 Naive
326,Mono/DC,CD14 Mono
327,T cell,CD8 Naive
328,Progenitor cells,LMPP
329,T cell,CD4 Naive
330,T cell,CD8 Naive
331,T cell,CD8 Naive
332,Progenitor cells,Prog_RBC
333,Mono/DC,pDC
334,T cell,CD8 Naive
335,T cell,MAIT
336,T cell,CD4 Memory
337,NK,NK
338,T cell,CD4 Memory
339,T cell,MAIT
340,Progenitor cells,Prog_RBC
341,Mono/DC,CD14 Mono
342,T cell,CD8 Memory_2
343,T cell,CD4 Memory
344,T cell,CD4 Memory
345,T cell,CD8 Naive
346,Mono/DC,CD14 Mono
347,NK,NK
348,T cell,MAIT
349,T cell,CD4 Memory
350,B cell,Naive B
