Index,L1,L2,L1_02
0_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
1_RNA,T cell,gdT,T cell_RNA
2_RNA,T cell,CD4 Naive,T cell_RNA
3_RNA,T cell,CD4 Memory,T cell_RNA
4_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
5_RNA,B cell,Naive B,B cell_RNA
6_RNA,T cell,CD8 Naive,T cell_RNA
7_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
8_RNA,B cell,Naive B,B cell_RNA
9_RNA,T cell,CD4 Naive,T cell_RNA
10_RNA,T cell,CD8 Naive,T cell_RNA
11_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
12_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
13_RNA,T cell,CD8 Naive,T cell_RNA
14_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
15_RNA,T cell,CD8 Naive,T cell_RNA
16_RNA,T cell,Treg,T cell_RNA
17_RNA,T cell,CD8 Effector_2,T cell_RNA
18_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
19_RNA,T cell,CD8 Effector_2,T cell_RNA
20_RNA,T cell,CD4 Memory,T cell_RNA
21_RNA,T cell,CD4 Naive,T cell_RNA
22_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
23_RNA,T cell,CD4 Naive,T cell_RNA
24_RNA,T cell,CD4 Memory,T cell_RNA
25_RNA,NK,NK,NK_RNA
26_RNA,T cell,CD8 Naive,T cell_RNA
27_RNA,T cell,CD4 Naive,T cell_RNA
28_RNA,Progenitor cells,GMP,Progenitor cells_RNA
29_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
30_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
31_RNA,T cell,CD8 Effector_1,T cell_RNA
32_RNA,T cell,CD4 Memory,T cell_RNA
33_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
34_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
35_RNA,T cell,CD8 Naive,T cell_RNA
36_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
37_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
38_RNA,T cell,CD4 Memory,T cell_RNA
39_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
40_RNA,Progenitor cells,GMP,Progenitor cells_RNA
41_RNA,Progenitor cells,GMP,Progenitor cells_RNA
42_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
43_RNA,T cell,CD4 Memory,T cell_RNA
44_RNA,Progenitor cells,Prog_RBC,Progenitor cells_RNA
45_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
46_RNA,T cell,CD4 Memory,T cell_RNA
47_RNA,T cell,CD4 Naive,T cell_RNA
48_RNA,NK,NK,NK_RNA
49_RNA,Mono/DC,pDC,Mono/DC_RNA
50_RNA,T cell,CD4 Memory,T cell_RNA
51_RNA,T cell,CD4 Memory,T cell_RNA
52_RNA,T cell,CD4 Naive,T cell_RNA
53_RNA,T cell,CD8 Memory_1,T cell_RNA
54_RNA,T cell,CD8 Naive,T cell_RNA
55_RNA,T cell,CD8 Naive,T cell_RNA
56_RNA,Mono/DC,pDC,Mono/DC_RNA
57_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
58_RNA,Mono/DC,CD14 Mono,Mono/DC_RNA
59_RNA,T cell,CD4 Naive,T cell_RNA
60_RNA,Mono/DC,CD16 Mono,Mono/DC_RNA
61_RNA,T cell,CD4 Naive,T cell_RNA
