Index,Flag,L1,L2,L1_02
4_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
6_RNA,1,T cell,CD8 Naive,T cell_RNA
8_RNA,1,B cell,Naive B,B cell_RNA
9_RNA,1,T cell,CD4 Naive,T cell_RNA
13_RNA,1,T cell,CD8 Naive,T cell_RNA
15_RNA,1,T cell,CD8 Naive,T cell_RNA
16_RNA,1,T cell,Treg,T cell_RNA
21_RNA,1,T cell,CD4 Naive,T cell_RNA
22_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
24_RNA,1,T cell,CD4 Memory,T cell_RNA
26_RNA,1,T cell,CD8 Naive,T cell_RNA
29_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
31_RNA,1,T cell,CD8 Effector_1,T cell_RNA
33_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
34_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
35_RNA,1,T cell,CD8 Naive,T cell_RNA
38_RNA,1,T cell,CD4 Memory,T cell_RNA
42_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
44_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
45_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
47_RNA,1,T cell,CD4 Naive,T cell_RNA
49_RNA,1,Mono/DC,pDC,Mono/DC_RNA
50_RNA,1,T cell,CD4 Memory,T cell_RNA
51_RNA,1,T cell,CD4 Memory,T cell_RNA
52_RNA,1,T cell,CD4 Naive,T cell_RNA
53_RNA,1,T cell,CD8 Memory_1,T cell_RNA
54_RNA,1,T cell,CD8 Naive,T cell_RNA
55_RNA,1,T cell,CD8 Naive,T cell_RNA
58_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
60_RNA,1,Mono/DC,CD16 Mono,Mono/DC_RNA
64_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
66_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
73_RNA,1,T cell,CD8 Effector_2,T cell_RNA
75_RNA,1,T cell,CD8 Naive,T cell_RNA
77_RNA,1,T cell,CD4 Memory,T cell_RNA
80_RNA,1,T cell,CD8 Effector_2,T cell_RNA
81_RNA,1,T cell,CD4 Memory,T cell_RNA
82_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
83_RNA,1,T cell,CD8 Naive,T cell_RNA
84_RNA,1,T cell,CD4 Memory,T cell_RNA
86_RNA,1,T cell,CD8 Naive,T cell_RNA
87_RNA,1,T cell,CD8 Memory_1,T cell_RNA
89_RNA,1,B cell,Naive B,B cell_RNA
90_RNA,1,NK,NK,NK_RNA
91_RNA,1,T cell,CD4 Naive,T cell_RNA
92_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
95_RNA,1,T cell,CD4 Memory,T cell_RNA
96_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
98_RNA,1,T cell,CD4 Naive,T cell_RNA
102_RNA,1,T cell,CD8 Naive,T cell_RNA
103_RNA,1,T cell,CD4 Memory,T cell_RNA
105_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
109_RNA,1,T cell,CD4 Naive,T cell_RNA
110_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
113_RNA,1,T cell,CD8 Memory_1,T cell_RNA
114_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
115_RNA,1,T cell,CD4 Memory,T cell_RNA
117_RNA,1,NK,CD56 bright NK,NK_RNA
118_RNA,1,Mono/DC,pDC,Mono/DC_RNA
119_RNA,1,T cell,CD4 Naive,T cell_RNA
120_RNA,1,B cell,Memory B,B cell_RNA
122_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
126_RNA,1,T cell,CD4 Memory,T cell_RNA
130_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
132_RNA,1,T cell,CD4 Naive,T cell_RNA
133_RNA,1,T cell,CD4 Naive,T cell_RNA
135_RNA,1,T cell,CD4 Naive,T cell_RNA
138_RNA,1,T cell,CD4 Memory,T cell_RNA
140_RNA,1,T cell,CD4 Naive,T cell_RNA
141_RNA,1,B cell,Memory B,B cell_RNA
142_RNA,1,Mono/DC,pDC,Mono/DC_RNA
143_RNA,1,T cell,CD4 Naive,T cell_RNA
144_RNA,1,T cell,CD4 Naive,T cell_RNA
146_RNA,1,Progenitor cells,Prog_B 2,Progenitor cells_RNA
150_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
152_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
153_RNA,1,T cell,CD8 Naive,T cell_RNA
154_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
157_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
158_RNA,1,NK,NK,NK_RNA
160_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
163_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
165_RNA,1,T cell,CD4 Naive,T cell_RNA
167_RNA,1,T cell,MAIT,T cell_RNA
170_RNA,1,B cell,Memory B,B cell_RNA
171_RNA,1,B cell,Memory B,B cell_RNA
172_RNA,1,T cell,CD4 Memory,T cell_RNA
176_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
178_RNA,1,T cell,CD8 Naive,T cell_RNA
183_RNA,1,T cell,CD4 Naive,T cell_RNA
184_RNA,1,T cell,CD4 Naive,T cell_RNA
185_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
186_RNA,1,T cell,CD4 Naive,T cell_RNA
187_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
188_RNA,1,T cell,CD8 Naive,T cell_RNA
193_RNA,1,T cell,CD4 Naive,T cell_RNA
196_RNA,1,T cell,CD4 Memory,T cell_RNA
197_RNA,1,T cell,CD8 Memory_2,T cell_RNA
198_RNA,1,B cell,Naive B,B cell_RNA
199_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
200_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
201_RNA,1,B cell,Plasmablast,B cell_RNA
202_RNA,1,T cell,CD4 Memory,T cell_RNA
208_RNA,1,T cell,CD4 Naive,T cell_RNA
211_RNA,1,T cell,CD8 Effector_1,T cell_RNA
212_RNA,1,Progenitor cells,HSC,Progenitor cells_RNA
215_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
216_RNA,1,T cell,CD4 Naive,T cell_RNA
218_RNA,1,T cell,CD8 Effector_1,T cell_RNA
221_RNA,1,B cell,Naive B,B cell_RNA
222_RNA,1,T cell,CD8 Naive,T cell_RNA
223_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
226_RNA,1,T cell,CD4 Memory,T cell_RNA
228_RNA,1,Mono/DC,CD16 Mono,Mono/DC_RNA
229_RNA,1,T cell,CD8 Naive,T cell_RNA
230_RNA,1,T cell,CD4 Memory,T cell_RNA
231_RNA,1,B cell,Naive B,B cell_RNA
233_RNA,1,T cell,CD8 Memory_2,T cell_RNA
234_RNA,1,Mono/DC,pDC,Mono/DC_RNA
235_RNA,1,T cell,CD8 Naive,T cell_RNA
236_RNA,1,T cell,CD4 Memory,T cell_RNA
237_RNA,1,T cell,CD8 Naive,T cell_RNA
239_RNA,1,T cell,CD8 Memory_2,T cell_RNA
240_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
242_RNA,1,B cell,Naive B,B cell_RNA
244_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
246_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
247_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
248_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
249_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
250_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
251_RNA,1,T cell,CD8 Naive,T cell_RNA
253_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
254_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
255_RNA,1,T cell,CD4 Naive,T cell_RNA
259_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
260_RNA,1,T cell,CD8 Naive,T cell_RNA
263_RNA,1,T cell,CD4 Memory,T cell_RNA
265_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
266_RNA,1,T cell,gdT,T cell_RNA
269_RNA,1,B cell,Naive B,B cell_RNA
273_RNA,1,T cell,CD8 Naive,T cell_RNA
276_RNA,1,Progenitor cells,HSC,Progenitor cells_RNA
278_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
279_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
280_RNA,1,T cell,CD8 Naive,T cell_RNA
282_RNA,1,B cell,Memory B,B cell_RNA
287_RNA,1,T cell,CD8 Naive,T cell_RNA
289_RNA,1,T cell,CD8 Effector_1,T cell_RNA
290_RNA,1,B cell,Memory B,B cell_RNA
291_RNA,1,B cell,Memory B,B cell_RNA
292_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
297_RNA,1,T cell,CD8 Effector_2,T cell_RNA
300_RNA,1,T cell,CD8 Effector_1,T cell_RNA
301_RNA,1,T cell,CD8 Naive,T cell_RNA
302_RNA,1,T cell,CD8 Naive,T cell_RNA
304_RNA,1,T cell,CD8 Naive,T cell_RNA
308_RNA,1,NK,NK,NK_RNA
310_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
311_RNA,1,B cell,Memory B,B cell_RNA
312_RNA,1,T cell,gdT,T cell_RNA
315_RNA,1,B cell,Memory B,B cell_RNA
317_RNA,1,T cell,CD4 Naive,T cell_RNA
318_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
321_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
322_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
324_RNA,1,T cell,CD8 Naive,T cell_RNA
325_RNA,1,T cell,CD4 Naive,T cell_RNA
330_RNA,1,T cell,CD8 Naive,T cell_RNA
331_RNA,1,T cell,CD8 Naive,T cell_RNA
332_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
333_RNA,1,Mono/DC,pDC,Mono/DC_RNA
335_RNA,1,T cell,MAIT,T cell_RNA
338_RNA,1,T cell,CD4 Memory,T cell_RNA
343_RNA,1,T cell,CD4 Memory,T cell_RNA
344_RNA,1,T cell,CD4 Memory,T cell_RNA
345_RNA,1,T cell,CD8 Naive,T cell_RNA
346_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
349_RNA,1,T cell,CD4 Memory,T cell_RNA
353_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
355_RNA,1,T cell,CD4 Naive,T cell_RNA
356_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
358_RNA,1,T cell,CD4 Naive,T cell_RNA
360_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
361_RNA,1,T cell,CD4 Memory,T cell_RNA
362_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
368_RNA,1,B cell,Naive B,B cell_RNA
369_RNA,1,T cell,CD8 Naive,T cell_RNA
371_RNA,1,T cell,CD8 Naive,T cell_RNA
374_RNA,1,T cell,CD8 Naive,T cell_RNA
376_RNA,1,B cell,Naive B,B cell_RNA
377_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
379_RNA,1,B cell,Memory B,B cell_RNA
380_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
383_RNA,1,T cell,CD4 Naive,T cell_RNA
384_RNA,1,B cell,Memory B,B cell_RNA
385_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
386_RNA,1,T cell,CD8 Effector_2,T cell_RNA
389_RNA,1,B cell,Memory B,B cell_RNA
390_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
391_RNA,1,B cell,Memory B,B cell_RNA
394_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
396_RNA,1,T cell,CD8 Memory_1,T cell_RNA
400_RNA,1,T cell,CD8 Naive,T cell_RNA
401_RNA,1,B cell,Memory B,B cell_RNA
403_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
406_RNA,1,T cell,CD4 Naive,T cell_RNA
409_RNA,1,T cell,MAIT,T cell_RNA
411_RNA,1,T cell,CD4 Memory,T cell_RNA
412_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
413_RNA,1,T cell,CD8 Naive,T cell_RNA
416_RNA,1,B cell,Naive B,B cell_RNA
418_RNA,1,T cell,CD8 Memory_2,T cell_RNA
419_RNA,1,T cell,CD4 Memory,T cell_RNA
423_RNA,1,T cell,CD4 Naive,T cell_RNA
427_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
428_RNA,1,T cell,CD8 Naive,T cell_RNA
429_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
433_RNA,1,T cell,CD4 Naive,T cell_RNA
435_RNA,1,T cell,CD4 Naive,T cell_RNA
438_RNA,1,T cell,CD8 Naive,T cell_RNA
439_RNA,1,T cell,CD4 Naive,T cell_RNA
441_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
442_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
443_RNA,1,T cell,CD8 Naive,T cell_RNA
444_RNA,1,Progenitor cells,Prog_B 2,Progenitor cells_RNA
445_RNA,1,T cell,CD4 Naive,T cell_RNA
449_RNA,1,T cell,CD8 Naive,T cell_RNA
450_RNA,1,T cell,CD8 Naive,T cell_RNA
452_RNA,1,B cell,Plasmablast,B cell_RNA
457_RNA,1,T cell,CD8 Memory_1,T cell_RNA
458_RNA,1,T cell,CD4 Memory,T cell_RNA
464_RNA,1,T cell,Treg,T cell_RNA
466_RNA,1,Mono/DC,cDC2,Mono/DC_RNA
467_RNA,1,T cell,CD4 Memory,T cell_RNA
468_RNA,1,Progenitor cells,GMP,Progenitor cells_RNA
469_RNA,1,T cell,CD4 Memory,T cell_RNA
470_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
473_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
474_RNA,1,T cell,CD4 Memory,T cell_RNA
478_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
480_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
482_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
484_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
485_RNA,1,T cell,gdT,T cell_RNA
487_RNA,1,B cell,Naive B,B cell_RNA
488_RNA,1,T cell,MAIT,T cell_RNA
489_RNA,1,B cell,Memory B,B cell_RNA
490_RNA,1,T cell,Treg,T cell_RNA
493_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
501_RNA,1,T cell,CD8 Naive,T cell_RNA
502_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
503_RNA,1,Progenitor cells,LMPP,Progenitor cells_RNA
504_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
506_RNA,1,T cell,CD8 Naive,T cell_RNA
507_RNA,1,T cell,CD8 Naive,T cell_RNA
508_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
513_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
516_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
518_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
519_RNA,1,T cell,CD8 Naive,T cell_RNA
521_RNA,1,T cell,CD8 Naive,T cell_RNA
524_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
525_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
528_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
529_RNA,1,T cell,CD4 Naive,T cell_RNA
530_RNA,1,NK,NK,NK_RNA
533_RNA,1,T cell,CD4 Naive,T cell_RNA
537_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
539_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
541_RNA,1,Progenitor cells,Prog_DC,Progenitor cells_RNA
543_RNA,1,Progenitor cells,HSC,Progenitor cells_RNA
546_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
547_RNA,1,T cell,CD4 Naive,T cell_RNA
548_RNA,1,T cell,CD4 Memory,T cell_RNA
550_RNA,1,T cell,CD4 Naive,T cell_RNA
552_RNA,1,T cell,Treg,T cell_RNA
553_RNA,1,T cell,CD8 Naive,T cell_RNA
556_RNA,1,T cell,CD4 Memory,T cell_RNA
559_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
560_RNA,1,T cell,CD4 Naive,T cell_RNA
563_RNA,1,Progenitor cells,HSC,Progenitor cells_RNA
564_RNA,1,Progenitor cells,Prog_RBC,Progenitor cells_RNA
565_RNA,1,T cell,CD4 Naive,T cell_RNA
567_RNA,1,T cell,CD4 Memory,T cell_RNA
568_RNA,1,T cell,CD4 Memory,T cell_RNA
570_RNA,1,NK,CD56 bright NK,NK_RNA
572_RNA,1,T cell,MAIT,T cell_RNA
575_RNA,1,T cell,CD4 Memory,T cell_RNA
578_RNA,1,Mono/DC,CD14 Mono,Mono/DC_RNA
579_RNA,1,T cell,CD4 Naive,T cell_RNA
580_RNA,1,T cell,CD4 Naive,T cell_RNA
581_RNA,1,T cell,CD4 Memory,T cell_RNA
