Index,cell_type,is_train
0,CD4,1
1,CD4,1
2,CD4,0
3,CD8,1
4,CD4,1
5,Monocytes,0
6,CD4,1
7,Monocytes,1
8,CD8,0
9,NK,1
10,CD4,1
11,CD4,1
12,NK,1
13,CD8,1
14,CD4,1
15,Monocytes,1
16,CD4,1
17,Monocytes,1
18,Monocytes,1
19,Monocytes,0
20,NK,1
21,CD8,1
22,CD4,1
23,Monocytes,1
24,NK,1
25,Dendritic Cells,1
26,CD4,0
27,CD4,0
28,Monocytes,1
29,CD8,1
30,CD4,0
31,CD4,1
32,Monocytes,0
33,CD4,1
34,Monocytes,0
35,CD4,1
36,CD4,1
37,CD8,0
38,CD4,1
39,CD4,1
40,CD4,1
41,B Cells,1
42,Monocytes,1
43,Monocytes,1
44,CD4,1
45,Dendritic Cells,0
46,Monocytes,1
47,B Cells,1
48,Monocytes,1
49,CD4,1
50,CD4,1
51,NK,0
52,B Cells,1
53,CD8,1
54,CD8,1
55,Monocytes,1
56,Monocytes,1
57,CD4,0
58,CD4,1
59,CD4,1
60,CD8,1
61,Monocytes,1
62,Monocytes,1
63,Monocytes,1
64,B Cells,1
65,CD8,1
66,CD4,1
67,Monocytes,1
68,CD4,1
69,Monocytes,1
70,CD4,1
71,MAIT,0
72,Monocytes,0
73,CD4,1
74,B Cells,0
75,CD4,0
76,CD8,1
77,CD8,1
78,Monocytes,1
79,Monocytes,0
80,NK,0
81,NK,1
82,CD4,1
83,Monocytes,1
84,Monocytes,1
85,Monocytes,1
86,B Cells,1
87,Monocytes,0
88,CD4,0
89,CD8,0
90,B Cells,0
91,Monocytes,1
92,B Cells,1
93,Monocytes,1
94,Monocytes,1
95,Monocytes,1
96,Monocytes,1
97,CD4,1
98,CD8,1
99,CD4,1
100,CD8,1
101,Monocytes,1
102,Monocytes,1
103,CD8,1
104,Monocytes,1
105,CD4,1
106,CD4,0
107,Monocytes,0
108,CD4,1
109,CD4,0
110,CD8,1
111,CD8,1
112,Monocytes,1
113,CD8,0
114,CD4,1
115,Monocytes,1
116,B Cells,1
117,NK,0
118,Monocytes,1
119,Monocytes,0
120,CD4,1
121,Monocytes,1
122,Monocytes,0
123,Monocytes,1
124,Monocytes,0
125,Monocytes,1
126,CD8,1
127,CD8,0
128,CD8,1
129,Monocytes,1
130,Monocytes,1
131,Monocytes,1
132,Dendritic Cells,1
133,CD8,1
134,CD8,0
135,B Cells,1
136,CD4,1
137,CD8,1
138,Monocytes,1
139,Monocytes,1
140,B Cells,1
141,CD4,1
142,Monocytes,1
143,Monocytes,0
144,CD8,1
145,CD4,1
146,CD4,1
147,Monocytes,1
148,Monocytes,1
149,CD4,0
150,CD4,1
151,Monocytes,0
152,CD8,1
153,B Cells,1
154,CD4,1
155,CD4,1
156,Monocytes,1
157,Monocytes,1
158,CD8,1
159,NK,1
160,Monocytes,1
161,Monocytes,1
162,Dendritic Cells,1
163,CD8,0
164,Monocytes,0
165,Monocytes,1
166,MAIT,1
167,Monocytes,1
168,CD8,1
169,CD8,1
170,Dendritic Cells,1
171,CD4,1
172,B Cells,1
173,CD4,0
174,Monocytes,1
175,CD4,0
176,CD8,1
177,Monocytes,1
178,CD8,1
179,CD8,1
180,Monocytes,0
181,NK,1
182,CD4,1
183,Monocytes,1
184,CD4,1
185,Monocytes,1
186,CD8,1
187,CD4,1
188,CD4,1
189,CD4,1
190,CD8,1
191,CD4,1
192,B Cells,1
193,CD8,1
194,B Cells,1
195,CD8,1
196,Monocytes,1
197,CD4,1
198,Dendritic Cells,1
199,Monocytes,1
200,Monocytes,1
201,Monocytes,0
202,Monocytes,1
203,CD8,1
204,B Cells,1
205,CD4,1
206,CD8,1
207,Monocytes,1
208,Monocytes,1
209,Monocytes,1
210,CD8,1
211,Monocytes,1
212,CD4,1
213,Monocytes,1
214,Monocytes,0
215,CD4,1
216,Monocytes,0
217,CD4,1
218,Monocytes,1
219,CD8,1
220,CD8,1
221,CD8,1
222,CD8,1
223,Monocytes,1
224,Monocytes,1
225,Monocytes,1
226,CD4,1
227,CD8,0
228,CD4,0
229,CD4,1
230,Monocytes,1
231,CD8,0
232,CD4,1
233,CD8,1
234,Monocytes,0
235,B Cells,1
236,CD8,1
237,Dendritic Cells,0
238,Monocytes,1
239,B Cells,1
240,Monocytes,1
241,CD8,1
242,CD8,1
243,CD8,1
244,Monocytes,1
245,CD8,1
246,Monocytes,1
247,Monocytes,1
248,B Cells,1
249,NK,1
250,Monocytes,1
251,CD8,1
252,CD4,1
253,CD4,0
254,Monocytes,1
255,CD4,1
256,B Cells,1
257,CD4,1
258,B Cells,1
259,Monocytes,1
260,CD4,1
261,Monocytes,1
262,CD4,1
263,CD4,0
264,Monocytes,0
265,Monocytes,1
266,Monocytes,0
267,CD4,1
268,CD4,0
269,CD4,1
270,Monocytes,1
271,Monocytes,1
272,CD8,1
273,CD8,1
274,CD8,1
275,CD8,1
276,Monocytes,1
277,CD8,1
278,CD8,1
279,Monocytes,0
280,CD4,0
281,CD8,1
282,NK,1
283,CD8,1
284,CD4,1
285,Monocytes,1
286,CD4,1
287,CD4,1
288,Monocytes,0
289,CD8,1
290,Monocytes,1
291,CD8,0
292,B Cells,1
293,B Cells,1
294,CD8,1
295,CD8,1
296,CD8,0
297,CD4,1
298,Monocytes,1
299,Monocytes,1
300,CD4,1
301,CD8,1
302,B Cells,1
303,CD4,0
304,Monocytes,1
305,CD4,1
306,Monocytes,1
307,B Cells,1
308,B Cells,1
309,CD4,1
310,Monocytes,1
311,CD8,1
312,Monocytes,0
313,B Cells,1
314,CD4,1
315,CD8,1
316,CD4,1
317,CD4,1
318,Dendritic Cells,1
319,Monocytes,1
320,Monocytes,1
321,Monocytes,1
322,Monocytes,0
323,CD4,1
324,Monocytes,1
325,CD4,1
326,Monocytes,1
327,CD4,0
328,CD8,1
329,Monocytes,1
330,CD4,0
331,CD8,1
332,B Cells,0
333,Monocytes,1
334,Monocytes,1
335,CD4,1
336,CD8,1
337,Monocytes,1
338,CD4,1
339,B Cells,1
340,CD4,1
341,Monocytes,1
342,Monocytes,1
343,CD4,1
344,CD4,1
345,CD8,1
346,CD4,1
347,CD4,1
348,Monocytes,0
349,MAIT,1
350,CD4,1
351,Monocytes,1
352,CD4,1
353,CD4,0
354,CD4,1
355,CD8,1
356,Dendritic Cells,1
357,Monocytes,1
358,Monocytes,0
359,Dendritic Cells,1
360,CD4,1
361,NK,1
362,B Cells,0
363,CD4,1
364,Monocytes,1
365,CD8,1
366,Monocytes,0
367,CD4,1
368,Monocytes,1
369,Monocytes,1
370,Monocytes,1
371,NK,1
372,CD8,1
373,Monocytes,1
374,Monocytes,1
375,Monocytes,1
376,CD4,1
377,Monocytes,1
378,Monocytes,1
379,MAIT,1
380,NK,1
381,Dendritic Cells,0
382,CD4,1
383,Monocytes,1
384,Monocytes,1
385,CD8,1
386,CD8,1
387,Monocytes,1
388,CD4,0
389,CD4,0
390,Monocytes,1
391,CD4,1
392,CD4,1
393,Monocytes,1
394,CD4,1
395,CD8,1
396,CD4,1
397,CD8,1
398,CD4,1
399,CD4,1
400,Monocytes,0
401,CD4,1
402,CD8,1
403,B Cells,1
404,Monocytes,0
405,Dendritic Cells,1
406,CD4,0
407,CD8,1
408,CD8,1
409,Monocytes,0
410,CD4,0
411,CD4,0
412,Dendritic Cells,0
413,Monocytes,1
414,Monocytes,1
415,CD4,1
416,B Cells,1
417,CD4,1
418,CD4,0
419,CD4,1
420,CD8,1
421,CD8,1
422,CD8,1
423,CD8,1
424,Monocytes,1
425,CD8,1
426,MAIT,0
427,CD4,0
428,Monocytes,0
429,CD4,1
430,CD4,1
431,CD8,1
432,CD4,1
433,CD4,1
434,Monocytes,1
435,CD8,1
436,Monocytes,1
437,CD8,0
438,CD4,1
439,Monocytes,0
440,Monocytes,1
441,CD8,1
442,CD4,0
443,CD8,1
444,CD4,1
445,CD8,1
446,Monocytes,1
447,CD4,0
448,CD8,0
449,CD4,0
450,CD4,0
451,CD4,1
452,CD4,1
453,CD8,1
454,Dendritic Cells,1
455,Monocytes,1
456,CD4,0
457,CD4,1
458,Monocytes,0
459,CD8,1
460,CD8,1
461,Monocytes,1
462,B Cells,0
463,CD8,1
464,Monocytes,1
465,CD4,1
466,CD8,1
467,CD4,1
468,CD4,1
469,CD4,1
470,B Cells,1
471,Monocytes,1
472,CD4,1
473,B Cells,1
474,CD4,1
475,B Cells,1
476,CD8,1
477,Monocytes,1
478,Monocytes,1
479,B Cells,0
480,Monocytes,1
481,CD8,0
482,CD4,1
483,B Cells,1
484,Monocytes,1
485,CD8,1
486,Monocytes,1
487,CD4,1
488,Monocytes,0
489,Monocytes,0
490,Monocytes,1
491,NK,1
492,MAIT,1
493,Monocytes,1
494,CD4,1
495,Monocytes,1
496,CD8,1
497,CD8,1
498,CD4,0
499,CD4,1
500,Monocytes,1
501,Monocytes,0
502,Monocytes,1
503,CD8,1
504,Monocytes,1
505,Monocytes,1
506,Monocytes,0
507,Monocytes,1
508,CD8,1
509,Dendritic Cells,0
510,Dendritic Cells,0
511,CD8,1
512,CD4,1
513,B Cells,1
514,CD4,1
515,CD4,1
516,CD8,1
517,CD4,1
518,B Cells,1
519,B Cells,0
520,CD8,1
521,Monocytes,1
522,B Cells,1
523,B Cells,1
524,CD4,1
525,Monocytes,0
526,CD4,1
527,CD4,1
528,NK,1
529,Monocytes,1
530,CD4,0
531,CD4,1
532,CD4,1
533,B Cells,1
534,CD4,1
535,CD8,1
536,CD8,1
537,CD8,0
538,CD8,1
539,Monocytes,1
540,B Cells,1
541,Monocytes,1
542,CD8,1
543,CD4,1
544,CD8,1
545,HSPC,0
546,Monocytes,1
547,CD8,1
548,CD8,0
549,CD4,1
550,CD8,1
551,NK,1
552,CD4,1
553,CD8,1
554,Monocytes,1
555,CD4,1
556,CD4,1
557,Monocytes,1
558,CD8,1
559,CD4,1
560,Monocytes,1
561,CD4,1
562,CD4,0
563,CD4,1
564,B Cells,1
565,CD4,1
566,Monocytes,0
567,B Cells,1
568,CD8,1
569,CD4,0
570,Monocytes,1
571,CD8,1
572,Monocytes,0
573,CD4,1
574,Monocytes,1
575,Monocytes,1
576,Monocytes,1
577,Monocytes,0
578,Monocytes,1
579,CD8,1
580,Monocytes,1
581,Monocytes,1
582,Monocytes,1
583,CD4,1
584,CD4,1
585,B Cells,1
586,Monocytes,1
587,B Cells,1
588,CD4,1
589,Dendritic Cells,0
590,CD4,1
591,CD4,1
592,CD4,1
593,CD8,1
594,CD4,1
595,CD8,1
596,CD4,1
597,CD4,0
598,CD8,1
599,CD4,0
600,CD8,1
601,Dendritic Cells,1
602,CD4,1
603,CD8,0
604,Monocytes,1
605,CD4,1
606,CD4,1
607,Monocytes,1
608,Monocytes,1
609,B Cells,1
610,NK,1
611,MAIT,1
612,CD4,1
613,CD4,1
614,Monocytes,1
615,B Cells,0
616,CD8,1
617,CD4,1
618,CD4,1
619,Monocytes,0
620,Monocytes,0
621,Monocytes,1
622,Monocytes,1
623,Monocytes,1
624,CD8,1
625,CD4,1
626,Monocytes,1
627,CD8,1
628,CD4,0
629,CD4,1
630,CD4,0
631,B Cells,1
632,CD8,1
633,Monocytes,1
634,CD4,1
635,CD8,1
636,CD4,1
637,B Cells,1
638,Monocytes,0
639,B Cells,0
640,CD4,1
641,Monocytes,1
642,Monocytes,1
643,CD4,1
644,CD4,1
645,Monocytes,1
646,Monocytes,0
647,Monocytes,1
648,Monocytes,1
649,Monocytes,1
650,CD8,1
651,CD8,1
652,B Cells,1
653,CD4,0
654,Monocytes,1
655,Monocytes,1
656,Monocytes,1
657,CD4,0
658,CD4,1
659,Monocytes,1
660,CD8,1
661,CD8,1
662,B Cells,1
663,Monocytes,1
664,CD8,1
665,NK,1
666,CD8,0
667,B Cells,1
668,CD4,1
669,Monocytes,1
670,CD8,1
671,CD4,1
672,Monocytes,0
673,CD8,1
674,CD8,1
675,Monocytes,1
676,Monocytes,1
677,CD4,0
678,B Cells,1
679,Monocytes,1
680,B Cells,1
681,Monocytes,1
682,CD4,1
683,CD4,0
684,CD4,0
685,CD8,1
686,Dendritic Cells,0
687,Monocytes,0
688,CD4,0
689,B Cells,0
690,CD8,1
691,CD4,1
692,Monocytes,1
693,CD8,1
694,B Cells,0
695,Monocytes,0
696,CD8,1
697,CD8,1
698,CD4,1
699,CD8,1
700,CD4,0
701,CD4,0
702,Monocytes,1
703,CD4,1
704,CD8,1
705,CD4,1
706,Monocytes,1
707,Monocytes,1
708,Monocytes,1
709,CD8,1
710,CD8,1
711,NK,1
712,Monocytes,1
713,Monocytes,1
714,Monocytes,1
715,CD4,1
716,Monocytes,1
717,CD4,0
718,CD8,0
719,Monocytes,1
720,CD8,1
721,Monocytes,1
722,CD8,0
723,Monocytes,1
724,CD4,1
725,Monocytes,1
726,CD8,0
727,CD8,1
728,CD4,1
729,B Cells,1
730,B Cells,1
731,Monocytes,0
732,Monocytes,0
733,NK,1
734,CD8,1
735,CD8,1
736,Monocytes,1
737,Monocytes,1
738,B Cells,1
739,Monocytes,0
740,CD8,0
741,CD4,1
742,CD4,0
743,Monocytes,1
744,Monocytes,1
745,B Cells,0
746,CD8,0
747,Monocytes,1
748,B Cells,1
749,CD4,1
750,Monocytes,0
751,Monocytes,0
752,Monocytes,1
753,Monocytes,0
754,Monocytes,1
755,CD4,1
756,CD4,1
757,Monocytes,0
758,CD8,1
759,Monocytes,1
760,CD8,1
761,Monocytes,0
762,Monocytes,0
763,Monocytes,0
764,Monocytes,1
765,Monocytes,1
766,CD8,1
767,Dendritic Cells,1
768,B Cells,0
769,CD4,1
770,CD4,0
771,NK,1
772,NK,1
773,Monocytes,1
774,Monocytes,1
775,B Cells,1
776,CD8,0
777,MAIT,0
778,CD4,1
779,CD4,1
780,Dendritic Cells,1
781,CD4,1
782,CD4,1
