Index,cell_type_00,cell_type_01,cell_type,cell_type_02
0_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
1_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
2_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
3_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
4_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
5_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
6_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
7_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
8_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
9_ATAC,NK,NK_ATAC,NK,NK_ATAC
10_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
11_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
12_ATAC,NK,NK_ATAC,NK,NK_ATAC
13_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
14_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
15_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
16_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
17_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
18_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
19_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
20_ATAC,NK,NK_ATAC,NK,NK_ATAC
21_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
22_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
23_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
24_ATAC,NK,NK_ATAC,NK,NK_ATAC
25_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
26_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
27_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
28_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
29_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
30_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
31_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
32_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
33_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
34_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
35_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
36_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
37_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
38_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
39_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
40_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
41_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
42_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
43_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
44_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
45_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
46_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
47_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
48_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
49_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
50_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
51_ATAC,NK,NK_ATAC,NK,NK_ATAC
52_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
53_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
54_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
55_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
56_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
57_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
58_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
59_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
60_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
61_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
62_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
63_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
64_ATAC,Plasma,Plasma_ATAC,B Cells,B Cells_ATAC
65_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
66_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
67_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
68_ATAC,CD4 TEM,CD4 TEM_ATAC,CD4,CD4_ATAC
69_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
70_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
71_ATAC,MAIT,MAIT_ATAC,MAIT,MAIT_ATAC
72_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
73_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
74_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
75_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
76_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
77_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
78_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
79_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
80_ATAC,NK,NK_ATAC,NK,NK_ATAC
81_ATAC,NK,NK_ATAC,NK,NK_ATAC
82_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
83_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
84_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
85_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
86_ATAC,Naive B,Naive B_ATAC,B Cells,B Cells_ATAC
87_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
88_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
89_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
90_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
91_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
92_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
93_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
94_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
95_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
96_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
97_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
98_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
99_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
100_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
101_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
102_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
103_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
104_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
105_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
106_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
107_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
108_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
109_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
110_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
111_ATAC,gdT,gdT_ATAC,CD8,CD8_ATAC
112_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
113_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
114_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
115_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
116_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
117_ATAC,NK,NK_ATAC,NK,NK_ATAC
118_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
119_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
120_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
121_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
122_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
123_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
124_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
125_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
126_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
127_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
128_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
129_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
130_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
131_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
132_ATAC,pDC,pDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
133_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
134_ATAC,CD8 TEM_2,CD8 TEM_2_ATAC,CD8,CD8_ATAC
135_ATAC,Memory B,Memory B_ATAC,B Cells,B Cells_ATAC
136_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
