Index,cell_type,cell_type_02
0,CD4,CD4_target
1,CD4,CD4_target
2,CD4,CD4_target
3,CD8,CD8_target
4,CD4,CD4_target
5,Monocytes,Monocytes_target
6,CD4,CD4_target
7,Monocytes,Monocytes_target
8,CD8,CD8_target
9,NK,NK_target
10,CD4,CD4_target
11,CD4,CD4_target
12,NK,NK_target
13,CD8,CD8_target
14,CD4,CD4_target
15,Monocytes,Monocytes_target
16,CD4,CD4_target
17,Monocytes,Monocytes_target
18,Monocytes,Monocytes_target
19,Monocytes,Monocytes_target
20,NK,NK_target
21,CD8,CD8_target
22,CD4,CD4_target
23,Monocytes,Monocytes_target
24,NK,NK_target
25,Dendritic Cells,Dendritic Cells_target
26,CD4,CD4_target
27,CD4,CD4_target
28,Monocytes,Monocytes_target
29,CD8,CD8_target
30,CD4,CD4_target
31,CD4,CD4_target
32,Monocytes,Monocytes_target
33,CD4,CD4_target
34,Monocytes,Monocytes_target
35,CD4,CD4_target
36,CD4,CD4_target
37,CD8,CD8_target
38,CD4,CD4_target
39,CD4,CD4_target
40,CD4,CD4_target
41,B Cells,B Cells_target
42,Monocytes,Monocytes_target
43,Monocytes,Monocytes_target
44,CD4,CD4_target
45,Dendritic Cells,Dendritic Cells_target
46,Monocytes,Monocytes_target
47,B Cells,B Cells_target
48,Monocytes,Monocytes_target
49,CD4,CD4_target
50,CD4,CD4_target
51,NK,NK_target
52,B Cells,B Cells_target
53,CD8,CD8_target
54,CD8,CD8_target
55,Monocytes,Monocytes_target
56,Monocytes,Monocytes_target
57,CD4,CD4_target
58,CD4,CD4_target
59,CD4,CD4_target
60,CD8,CD8_target
61,Monocytes,Monocytes_target
62,Monocytes,Monocytes_target
63,Monocytes,Monocytes_target
64,B Cells,B Cells_target
65,CD8,CD8_target
66,CD4,CD4_target
67,Monocytes,Monocytes_target
68,CD4,CD4_target
69,Monocytes,Monocytes_target
70,CD4,CD4_target
71,MAIT,MAIT_target
72,Monocytes,Monocytes_target
73,CD4,CD4_target
74,B Cells,B Cells_target
75,CD4,CD4_target
76,CD8,CD8_target
77,CD8,CD8_target
78,Monocytes,Monocytes_target
79,Monocytes,Monocytes_target
80,NK,NK_target
81,NK,NK_target
82,CD4,CD4_target
83,Monocytes,Monocytes_target
84,Monocytes,Monocytes_target
85,Monocytes,Monocytes_target
86,B Cells,B Cells_target
87,Monocytes,Monocytes_target
88,CD4,CD4_target
89,CD8,CD8_target
90,B Cells,B Cells_target
91,Monocytes,Monocytes_target
92,B Cells,B Cells_target
93,Monocytes,Monocytes_target
94,Monocytes,Monocytes_target
95,Monocytes,Monocytes_target
96,Monocytes,Monocytes_target
97,CD4,CD4_target
98,CD8,CD8_target
99,CD4,CD4_target
100,CD8,CD8_target
101,Monocytes,Monocytes_target
102,Monocytes,Monocytes_target
103,CD8,CD8_target
104,Monocytes,Monocytes_target
105,CD4,CD4_target
106,CD4,CD4_target
107,Monocytes,Monocytes_target
108,CD4,CD4_target
109,CD4,CD4_target
110,CD8,CD8_target
111,CD8,CD8_target
112,Monocytes,Monocytes_target
113,CD8,CD8_target
114,CD4,CD4_target
115,Monocytes,Monocytes_target
116,B Cells,B Cells_target
117,NK,NK_target
118,Monocytes,Monocytes_target
119,Monocytes,Monocytes_target
120,CD4,CD4_target
121,Monocytes,Monocytes_target
122,Monocytes,Monocytes_target
123,Monocytes,Monocytes_target
124,Monocytes,Monocytes_target
125,Monocytes,Monocytes_target
126,CD8,CD8_target
127,CD8,CD8_target
128,CD8,CD8_target
129,Monocytes,Monocytes_target
130,Monocytes,Monocytes_target
131,Monocytes,Monocytes_target
132,Dendritic Cells,Dendritic Cells_target
133,CD8,CD8_target
134,CD8,CD8_target
135,B Cells,B Cells_target
136,CD4,CD4_target
137,CD8,CD8_target
138,Monocytes,Monocytes_target
139,Monocytes,Monocytes_target
140,B Cells,B Cells_target
141,CD4,CD4_target
142,Monocytes,Monocytes_target
143,Monocytes,Monocytes_target
144,CD8,CD8_target
145,CD4,CD4_target
146,CD4,CD4_target
147,Monocytes,Monocytes_target
148,Monocytes,Monocytes_target
149,CD4,CD4_target
150,CD4,CD4_target
151,Monocytes,Monocytes_target
152,CD8,CD8_target
153,B Cells,B Cells_target
154,CD4,CD4_target
155,CD4,CD4_target
156,Monocytes,Monocytes_target
157,Monocytes,Monocytes_target
158,CD8,CD8_target
159,NK,NK_target
160,Monocytes,Monocytes_target
161,Monocytes,Monocytes_target
162,Dendritic Cells,Dendritic Cells_target
163,CD8,CD8_target
164,Monocytes,Monocytes_target
165,Monocytes,Monocytes_target
166,MAIT,MAIT_target
167,Monocytes,Monocytes_target
168,CD8,CD8_target
169,CD8,CD8_target
170,Dendritic Cells,Dendritic Cells_target
171,CD4,CD4_target
172,B Cells,B Cells_target
173,CD4,CD4_target
174,Monocytes,Monocytes_target
175,CD4,CD4_target
176,CD8,CD8_target
177,Monocytes,Monocytes_target
178,CD8,CD8_target
179,CD8,CD8_target
180,Monocytes,Monocytes_target
181,NK,NK_target
182,CD4,CD4_target
183,Monocytes,Monocytes_target
184,CD4,CD4_target
185,Monocytes,Monocytes_target
186,CD8,CD8_target
187,CD4,CD4_target
188,CD4,CD4_target
189,CD4,CD4_target
190,CD8,CD8_target
191,CD4,CD4_target
192,B Cells,B Cells_target
193,CD8,CD8_target
194,B Cells,B Cells_target
195,CD8,CD8_target
196,Monocytes,Monocytes_target
197,CD4,CD4_target
198,Dendritic Cells,Dendritic Cells_target
199,Monocytes,Monocytes_target
200,Monocytes,Monocytes_target
201,Monocytes,Monocytes_target
202,Monocytes,Monocytes_target
203,CD8,CD8_target
204,B Cells,B Cells_target
205,CD4,CD4_target
206,CD8,CD8_target
207,Monocytes,Monocytes_target
208,Monocytes,Monocytes_target
209,Monocytes,Monocytes_target
210,CD8,CD8_target
211,Monocytes,Monocytes_target
212,CD4,CD4_target
213,Monocytes,Monocytes_target
214,Monocytes,Monocytes_target
215,CD4,CD4_target
216,Monocytes,Monocytes_target
217,CD4,CD4_target
218,Monocytes,Monocytes_target
219,CD8,CD8_target
220,CD8,CD8_target
221,CD8,CD8_target
222,CD8,CD8_target
223,Monocytes,Monocytes_target
224,Monocytes,Monocytes_target
225,Monocytes,Monocytes_target
226,CD4,CD4_target
227,CD8,CD8_target
228,CD4,CD4_target
229,CD4,CD4_target
230,Monocytes,Monocytes_target
231,CD8,CD8_target
232,CD4,CD4_target
233,CD8,CD8_target
234,Monocytes,Monocytes_target
235,B Cells,B Cells_target
236,CD8,CD8_target
237,Dendritic Cells,Dendritic Cells_target
238,Monocytes,Monocytes_target
239,B Cells,B Cells_target
240,Monocytes,Monocytes_target
241,CD8,CD8_target
242,CD8,CD8_target
243,CD8,CD8_target
244,Monocytes,Monocytes_target
245,CD8,CD8_target
246,Monocytes,Monocytes_target
247,Monocytes,Monocytes_target
248,B Cells,B Cells_target
249,NK,NK_target
250,Monocytes,Monocytes_target
251,CD8,CD8_target
252,CD4,CD4_target
253,CD4,CD4_target
254,Monocytes,Monocytes_target
255,CD4,CD4_target
256,B Cells,B Cells_target
257,CD4,CD4_target
258,B Cells,B Cells_target
259,Monocytes,Monocytes_target
260,CD4,CD4_target
261,Monocytes,Monocytes_target
262,CD4,CD4_target
263,CD4,CD4_target
264,Monocytes,Monocytes_target
265,Monocytes,Monocytes_target
266,Monocytes,Monocytes_target
267,CD4,CD4_target
268,CD4,CD4_target
269,CD4,CD4_target
270,Monocytes,Monocytes_target
271,Monocytes,Monocytes_target
272,CD8,CD8_target
273,CD8,CD8_target
274,CD8,CD8_target
275,CD8,CD8_target
276,Monocytes,Monocytes_target
277,CD8,CD8_target
278,CD8,CD8_target
279,Monocytes,Monocytes_target
280,CD4,CD4_target
281,CD8,CD8_target
282,NK,NK_target
283,CD8,CD8_target
284,CD4,CD4_target
285,Monocytes,Monocytes_target
286,CD4,CD4_target
287,CD4,CD4_target
288,Monocytes,Monocytes_target
289,CD8,CD8_target
290,Monocytes,Monocytes_target
291,CD8,CD8_target
292,B Cells,B Cells_target
293,B Cells,B Cells_target
294,CD8,CD8_target
295,CD8,CD8_target
296,CD8,CD8_target
297,CD4,CD4_target
298,Monocytes,Monocytes_target
299,Monocytes,Monocytes_target
300,CD4,CD4_target
301,CD8,CD8_target
302,B Cells,B Cells_target
303,CD4,CD4_target
304,Monocytes,Monocytes_target
305,CD4,CD4_target
306,Monocytes,Monocytes_target
307,B Cells,B Cells_target
308,B Cells,B Cells_target
309,CD4,CD4_target
310,Monocytes,Monocytes_target
311,CD8,CD8_target
312,Monocytes,Monocytes_target
313,B Cells,B Cells_target
314,CD4,CD4_target
315,CD8,CD8_target
316,CD4,CD4_target
317,CD4,CD4_target
318,Dendritic Cells,Dendritic Cells_target
319,Monocytes,Monocytes_target
320,Monocytes,Monocytes_target
321,Monocytes,Monocytes_target
322,Monocytes,Monocytes_target
323,CD4,CD4_target
324,Monocytes,Monocytes_target
325,CD4,CD4_target
326,Monocytes,Monocytes_target
327,CD4,CD4_target
328,CD8,CD8_target
329,Monocytes,Monocytes_target
330,CD4,CD4_target
331,CD8,CD8_target
332,B Cells,B Cells_target
333,Monocytes,Monocytes_target
334,Monocytes,Monocytes_target
335,CD4,CD4_target
336,CD8,CD8_target
337,Monocytes,Monocytes_target
338,CD4,CD4_target
339,B Cells,B Cells_target
340,CD4,CD4_target
341,Monocytes,Monocytes_target
342,Monocytes,Monocytes_target
343,CD4,CD4_target
344,CD4,CD4_target
345,CD8,CD8_target
346,CD4,CD4_target
347,CD4,CD4_target
348,Monocytes,Monocytes_target
349,MAIT,MAIT_target
350,CD4,CD4_target
351,Monocytes,Monocytes_target
352,CD4,CD4_target
353,CD4,CD4_target
354,CD4,CD4_target
355,CD8,CD8_target
356,Dendritic Cells,Dendritic Cells_target
357,Monocytes,Monocytes_target
358,Monocytes,Monocytes_target
359,Dendritic Cells,Dendritic Cells_target
360,CD4,CD4_target
361,NK,NK_target
362,B Cells,B Cells_target
363,CD4,CD4_target
364,Monocytes,Monocytes_target
365,CD8,CD8_target
366,Monocytes,Monocytes_target
367,CD4,CD4_target
368,Monocytes,Monocytes_target
369,Monocytes,Monocytes_target
370,Monocytes,Monocytes_target
371,NK,NK_target
372,CD8,CD8_target
373,Monocytes,Monocytes_target
374,Monocytes,Monocytes_target
375,Monocytes,Monocytes_target
376,CD4,CD4_target
377,Monocytes,Monocytes_target
378,Monocytes,Monocytes_target
379,MAIT,MAIT_target
380,NK,NK_target
381,Dendritic Cells,Dendritic Cells_target
382,CD4,CD4_target
383,Monocytes,Monocytes_target
384,Monocytes,Monocytes_target
385,CD8,CD8_target
386,CD8,CD8_target
387,Monocytes,Monocytes_target
388,CD4,CD4_target
389,CD4,CD4_target
390,Monocytes,Monocytes_target
391,CD4,CD4_target
392,CD4,CD4_target
393,Monocytes,Monocytes_target
394,CD4,CD4_target
395,CD8,CD8_target
396,CD4,CD4_target
397,CD8,CD8_target
398,CD4,CD4_target
399,CD4,CD4_target
400,Monocytes,Monocytes_target
401,CD4,CD4_target
402,CD8,CD8_target
403,B Cells,B Cells_target
404,Monocytes,Monocytes_target
405,Dendritic Cells,Dendritic Cells_target
406,CD4,CD4_target
407,CD8,CD8_target
408,CD8,CD8_target
409,Monocytes,Monocytes_target
410,CD4,CD4_target
411,CD4,CD4_target
412,Dendritic Cells,Dendritic Cells_target
413,Monocytes,Monocytes_target
414,Monocytes,Monocytes_target
415,CD4,CD4_target
416,B Cells,B Cells_target
417,CD4,CD4_target
418,CD4,CD4_target
419,CD4,CD4_target
420,CD8,CD8_target
421,CD8,CD8_target
422,CD8,CD8_target
423,CD8,CD8_target
424,Monocytes,Monocytes_target
425,CD8,CD8_target
426,MAIT,MAIT_target
427,CD4,CD4_target
428,Monocytes,Monocytes_target
429,CD4,CD4_target
430,CD4,CD4_target
431,CD8,CD8_target
432,CD4,CD4_target
433,CD4,CD4_target
434,Monocytes,Monocytes_target
435,CD8,CD8_target
436,Monocytes,Monocytes_target
437,CD8,CD8_target
438,CD4,CD4_target
439,Monocytes,Monocytes_target
440,Monocytes,Monocytes_target
441,CD8,CD8_target
442,CD4,CD4_target
443,CD8,CD8_target
444,CD4,CD4_target
445,CD8,CD8_target
446,Monocytes,Monocytes_target
447,CD4,CD4_target
448,CD8,CD8_target
449,CD4,CD4_target
450,CD4,CD4_target
451,CD4,CD4_target
452,CD4,CD4_target
453,CD8,CD8_target
454,Dendritic Cells,Dendritic Cells_target
455,Monocytes,Monocytes_target
456,CD4,CD4_target
457,CD4,CD4_target
458,Monocytes,Monocytes_target
459,CD8,CD8_target
460,CD8,CD8_target
461,Monocytes,Monocytes_target
462,B Cells,B Cells_target
463,CD8,CD8_target
464,Monocytes,Monocytes_target
465,CD4,CD4_target
466,CD8,CD8_target
467,CD4,CD4_target
468,CD4,CD4_target
469,CD4,CD4_target
470,B Cells,B Cells_target
471,Monocytes,Monocytes_target
472,CD4,CD4_target
473,B Cells,B Cells_target
474,CD4,CD4_target
475,B Cells,B Cells_target
476,CD8,CD8_target
477,Monocytes,Monocytes_target
478,Monocytes,Monocytes_target
479,B Cells,B Cells_target
480,Monocytes,Monocytes_target
481,CD8,CD8_target
482,CD4,CD4_target
483,B Cells,B Cells_target
484,Monocytes,Monocytes_target
485,CD8,CD8_target
486,Monocytes,Monocytes_target
487,CD4,CD4_target
488,Monocytes,Monocytes_target
489,Monocytes,Monocytes_target
490,Monocytes,Monocytes_target
491,NK,NK_target
492,MAIT,MAIT_target
493,Monocytes,Monocytes_target
494,CD4,CD4_target
495,Monocytes,Monocytes_target
496,CD8,CD8_target
497,CD8,CD8_target
498,CD4,CD4_target
499,CD4,CD4_target
500,Monocytes,Monocytes_target
501,Monocytes,Monocytes_target
502,Monocytes,Monocytes_target
503,CD8,CD8_target
504,Monocytes,Monocytes_target
505,Monocytes,Monocytes_target
506,Monocytes,Monocytes_target
507,Monocytes,Monocytes_target
508,CD8,CD8_target
509,Dendritic Cells,Dendritic Cells_target
510,Dendritic Cells,Dendritic Cells_target
511,CD8,CD8_target
512,CD4,CD4_target
513,B Cells,B Cells_target
514,CD4,CD4_target
515,CD4,CD4_target
516,CD8,CD8_target
517,CD4,CD4_target
518,B Cells,B Cells_target
519,B Cells,B Cells_target
520,CD8,CD8_target
521,Monocytes,Monocytes_target
522,B Cells,B Cells_target
523,B Cells,B Cells_target
524,CD4,CD4_target
525,Monocytes,Monocytes_target
526,CD4,CD4_target
527,CD4,CD4_target
528,NK,NK_target
529,Monocytes,Monocytes_target
530,CD4,CD4_target
531,CD4,CD4_target
532,CD4,CD4_target
533,B Cells,B Cells_target
534,CD4,CD4_target
535,CD8,CD8_target
536,CD8,CD8_target
537,CD8,CD8_target
538,CD8,CD8_target
539,Monocytes,Monocytes_target
540,B Cells,B Cells_target
541,Monocytes,Monocytes_target
542,CD8,CD8_target
543,CD4,CD4_target
544,CD8,CD8_target
545,HSPC,HSPC_target
546,Monocytes,Monocytes_target
547,CD8,CD8_target
548,CD8,CD8_target
549,CD4,CD4_target
550,CD8,CD8_target
551,NK,NK_target
552,CD4,CD4_target
553,CD8,CD8_target
554,Monocytes,Monocytes_target
555,CD4,CD4_target
556,CD4,CD4_target
557,Monocytes,Monocytes_target
558,CD8,CD8_target
559,CD4,CD4_target
560,Monocytes,Monocytes_target
561,CD4,CD4_target
562,CD4,CD4_target
563,CD4,CD4_target
564,B Cells,B Cells_target
565,CD4,CD4_target
566,Monocytes,Monocytes_target
567,B Cells,B Cells_target
568,CD8,CD8_target
569,CD4,CD4_target
570,Monocytes,Monocytes_target
571,CD8,CD8_target
572,Monocytes,Monocytes_target
573,CD4,CD4_target
574,Monocytes,Monocytes_target
575,Monocytes,Monocytes_target
576,Monocytes,Monocytes_target
577,Monocytes,Monocytes_target
578,Monocytes,Monocytes_target
579,CD8,CD8_target
580,Monocytes,Monocytes_target
581,Monocytes,Monocytes_target
582,Monocytes,Monocytes_target
583,CD4,CD4_target
584,CD4,CD4_target
585,B Cells,B Cells_target
586,Monocytes,Monocytes_target
587,B Cells,B Cells_target
588,CD4,CD4_target
589,Dendritic Cells,Dendritic Cells_target
590,CD4,CD4_target
591,CD4,CD4_target
592,CD4,CD4_target
593,CD8,CD8_target
594,CD4,CD4_target
595,CD8,CD8_target
596,CD4,CD4_target
597,CD4,CD4_target
598,CD8,CD8_target
599,CD4,CD4_target
600,CD8,CD8_target
601,Dendritic Cells,Dendritic Cells_target
602,CD4,CD4_target
603,CD8,CD8_target
604,Monocytes,Monocytes_target
605,CD4,CD4_target
606,CD4,CD4_target
607,Monocytes,Monocytes_target
608,Monocytes,Monocytes_target
609,B Cells,B Cells_target
610,NK,NK_target
611,MAIT,MAIT_target
612,CD4,CD4_target
613,CD4,CD4_target
614,Monocytes,Monocytes_target
615,B Cells,B Cells_target
616,CD8,CD8_target
617,CD4,CD4_target
618,CD4,CD4_target
619,Monocytes,Monocytes_target
620,Monocytes,Monocytes_target
621,Monocytes,Monocytes_target
622,Monocytes,Monocytes_target
623,Monocytes,Monocytes_target
624,CD8,CD8_target
625,CD4,CD4_target
626,Monocytes,Monocytes_target
627,CD8,CD8_target
628,CD4,CD4_target
629,CD4,CD4_target
630,CD4,CD4_target
631,B Cells,B Cells_target
632,CD8,CD8_target
