,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,LSI_13,LSI_14,LSI_15,LSI_16,LSI_17,LSI_18,LSI_19,LSI_20,LSI_21,LSI_22,LSI_23,LSI_24,LSI_25,LSI_26,LSI_27,LSI_28,LSI_29,LSI_30,LSI_31,LSI_32,LSI_33,LSI_34,LSI_35,LSI_36,LSI_37,LSI_38,LSI_39,LSI_40,LSI_41,LSI_42,LSI_43,LSI_44,LSI_45,LSI_46,LSI_47,LSI_48,LSI_49,LSI_50
0_ATAC,1.376581829,1.165748272,-0.585672772,1.676286714,0.747187079,-1.577282734,-0.355876935,-0.223549074,0.928306186,-0.511147651,-1.336164563,-0.04076774,-0.184785208,-1.042247012,-2.096836884,0.523259943,1.25700419,1.832238924,-1.2034992,1.580894827,-0.76525483,0.277856083,0.547662309,1.81418338,0.696552869,0.055787463,-0.057667835,0.226146173,0.130549783,0.082285288,-0.210917775,0.082928725,0.420129399,-0.050687391,-0.357768028,0.671744054,0.75385131,-0.391363058,-0.752429336,0.439875442,-0.650248538,-0.188709156,0.054240231,-0.422497219,0.018703786,-0.779401513,0.228147246,0.160727867,-0.593590498,-0.236276005
1_ATAC,-0.278848118,0.797691142,-0.321103397,-0.224401006,-0.274846735,1.224700153,0.428243512,-0.378295002,0.14774165,-0.196931436,1.850177725,-0.682240016,0.130171772,0.725054847,0.572907559,-0.198168423,-1.567546165,-0.564838932,-1.075897588,-2.38477711,-0.765556627,0.356492483,-0.046762948,1.47441967,-0.238938047,-0.357923243,-0.448686241,1.089943317,-0.913400349,-0.199445239,-0.028143425,-0.341755133,0.153356175,-0.130300122,-0.464112034,0.407929766,0.240028564,-0.004275039,0.192528752,-0.314940622,0.498893043,-0.151461061,-0.177626501,0.040099882,0.046515018,0.762156949,-0.171965379,-0.143043557,0.573510178,0.339039839
2_ATAC,-0.417709136,0.813902398,-0.380061622,1.085065716,0.453630404,-0.9312525,-0.261957724,-0.214941987,0.330568605,-0.248948391,-0.850482419,-0.089012695,0.048072373,-0.597895604,-0.824211314,0.270638969,0.70359234,1.736482081,-1.256892046,0.904845267,-0.710956762,-0.303157618,0.770117317,0.709873657,0.976676909,-0.122941528,-0.114565845,-0.595477488,0.17026946,0.009459168,-0.379871853,0.810938892,-0.416012859,0.027856112,-0.397396014,0.109035915,1.078712888,0.506782745,-0.541186503,-0.088973346,0.028379624,0.176404478,-0.27774945,-0.080849839,0.343509463,-0.092257726,0.228237405,-0.278725248,0.006985371,0.007614108
3_ATAC,-1.948217224,0.555083474,-0.20170396,0.366236724,0.150545926,-0.739142837,-0.169886439,0.067598318,-0.385030312,-0.167454805,1.147811307,-0.415261149,0.208929517,0.757615071,1.191619354,-0.286383381,0.382235516,-0.407975895,-0.298223569,1.588460725,-0.176676773,-0.378008959,0.870750242,1.064030326,0.554056255,0.021586866,0.73429362,0.061209526,0.343810351,-0.121488683,-0.783000354,0.654883722,-0.0938237,0.361592305,-0.612543819,-0.152664681,0.249756555,-0.944799412,-0.079204865,0.167285859,0.299540985,0.337393523,0.659541154,-0.267166998,-0.14643107,-0.516018008,0.424686489,-0.313029166,-0.2548201,0.17483663
4_ATAC,-1.430293766,0.700403084,-0.384442029,0.924966913,-0.075797184,-0.359683878,-0.153292749,0.487595042,-1.219488885,0.525026684,-0.908911316,0.056735473,0.026830108,-0.049968952,-0.272744011,0.862530978,-0.581275317,1.297772169,0.076575047,-0.442181778,-0.400912366,0.304652964,-0.212831872,1.301578996,0.463671046,-0.399385705,-0.618380197,0.740183016,0.067105723,-0.149628109,0.108179994,0.14068489,0.288926323,-0.567080226,0.178242852,0.442544774,0.566766317,-0.241002921,-0.141869476,-0.024835811,0.451126592,-0.083094251,0.110041894,-0.012143223,-0.012517163,-0.122068986,0.19752559,-0.039071008,-0.03409601,0.150949563
5_ATAC,0.973516374,1.081746832,-0.421688798,0.820153718,0.337637789,-0.762339325,-0.155188094,-0.74290571,1.155253648,-0.873971057,0.709401028,0.307738658,-0.039526136,-0.625681997,1.061000163,-1.089154328,0.10088358,-1.257064582,0.92522539,-0.899987933,0.133790808,-0.869724689,-0.255042556,-0.989526981,-0.469478177,0.490521657,-0.131084337,-0.190098118,0.37415034,0.177568373,0.296610171,0.448877498,0.134722446,-0.16299207,-0.312573322,-0.152940349,0.435842378,-0.197997606,-0.12653455,0.062687365,0.045367905,-0.193224094,0.094199513,0.10663325,-0.164429016,0.149057277,0.070882889,0.377655009,-0.444022617,0.185374737
6_ATAC,-0.258011034,0.84888889,-0.40420724,0.129718239,-0.46045194,2.309983014,0.524318114,-0.320458069,0.138901073,0.178704844,-1.143818414,-0.497572582,0.046674529,-0.493562305,0.572613622,-1.220983626,-0.413644172,-1.130619851,-2.549651918,-1.758383239,-0.825581302,0.01281558,0.961294556,1.5773339,-0.164397728,-0.137270653,0.205652689,0.400002135,0.297114823,-0.049830242,-0.760736298,0.644477188,0.491050676,0.42552711,-0.287974459,-0.157022258,0.17210981,-0.980788889,0.06192783,0.119409053,0.487347558,0.088559501,0.615491054,-0.189111652,0.118840427,0.062392967,0.365941639,-0.298132252,-0.393107111,0.179180843
7_ATAC,0.707271459,-1.522764096,-0.052099791,0.084802953,0.051851637,1.065914098,-4.278096098,1.736002067,1.015350621,-1.005758483,-0.049286395,-0.679186512,0.716852713,0.288872996,0.670176494,1.771297122,-1.665346408,-0.828730985,-0.733735351,1.038176927,-0.487276694,-1.047905564,-0.848675992,0.432629656,0.22503952,0.090135182,-1.314910513,0.32037417,0.929635653,-1.312656309,0.615335561,1.800484505,0.311163638,1.374068932,-1.024022828,0.178653583,0.267890442,0.357766596,-0.04349817,0.352263383,-1.036208656,-0.011935541,0.246211723,-0.582633962,-0.166897125,0.784167246,-0.576701146,0.341180283,-0.44360269,-0.713197579
8_ATAC,-0.060697284,0.835299643,-0.341738544,0.92350868,0.425561469,-1.112241814,0.015117338,-0.275884233,0.920500318,0.218981584,1.741320549,0.290954829,-0.077025598,0.634928224,0.143025224,-0.301926392,-1.712761344,-1.374943669,0.054732479,0.35980196,0.095545952,0.376361308,-0.353458201,0.004970054,-0.97107403,0.489114794,0.353509244,-0.327450138,0.106555885,-0.096382628,0.432734188,0.316648023,0.11821882,-0.706902805,0.184724432,-0.072161359,0.197211705,0.545382055,-0.765840493,0.33153406,-0.503031895,-0.307318291,-0.427762258,-0.174144577,0.01636394,-0.01705704,0.434780875,0.13393693,-0.269499078,-0.249427967
9_ATAC,-0.268978598,0.582903464,-0.151094485,-3.180448409,0.804793608,-2.43621421,-0.678772783,-0.269553376,0.291888534,1.90704055,-2.523082387,-2.01141658,0.20155182,1.552916846,0.628222316,-0.645482262,-0.034910246,-1.43962486,-1.417653247,-0.724553112,1.400595688,1.9992185,-1.097984795,-1.104716764,-0.553059119,-0.411775589,-0.34919802,-0.378203965,0.083842692,-0.194136988,-0.834049329,0.843670579,-1.117956813,-0.497364853,-0.449000346,0.562665084,0.59540461,-0.826080919,0.480585927,-0.089765074,0.833143673,-0.065058919,0.00855009,-0.554352701,0.456573842,-1.391088948,-0.360857875,-0.424877767,-0.317478817,-0.427496362
10_ATAC,-0.717260223,0.707874181,-0.175815707,0.681713933,-0.160012808,0.08358013,0.023075889,0.398669508,-0.700636442,0.908403363,-0.277030008,0.244986405,-0.021768363,-0.027308974,0.306196215,0.042504227,-1.409791946,0.375618502,0.973712353,0.181599927,-0.571941678,-0.263823632,-0.404511306,0.020100703,0.251242647,0.36815301,-0.145390062,0.441808468,-0.190623729,0.017017005,0.01454744,-0.154516129,-0.093766093,0.020414014,-0.155507977,0.033010771,0.682694053,0.257843366,-0.410604857,0.106880789,0.225038996,-0.357466749,-0.328745245,0.263029364,0.114473616,0.11752471,0.245977105,0.175266095,-0.450506014,-0.082862061
