Index,cell_type_00,cell_type_01,cell_type,cell_type_02
0_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
2_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
3_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
4_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
5_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
8_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
10_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
11_ATAC,Treg,Treg_ATAC,CD4,CD4_ATAC
12_ATAC,NK,NK_ATAC,NK,NK_ATAC
13_ATAC,CD8 Naive,CD8 Naive_ATAC,CD8,CD8_ATAC
14_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
15_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
16_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
17_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
19_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
20_ATAC,NK,NK_ATAC,NK,NK_ATAC
22_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
23_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
24_ATAC,NK,NK_ATAC,NK,NK_ATAC
25_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
26_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
27_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
29_ATAC,CD8 TEM_1,CD8 TEM_1_ATAC,CD8,CD8_ATAC
30_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
31_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
32_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
33_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
34_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
35_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
36_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
39_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
40_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
41_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
43_ATAC,CD16 Mono,CD16 Mono_ATAC,Monocytes,Monocytes_ATAC
44_ATAC,CD4 Naive,CD4 Naive_ATAC,CD4,CD4_ATAC
45_ATAC,cDC,cDC_ATAC,Dendritic Cells,Dendritic Cells_ATAC
47_ATAC,Intermediate B,Intermediate B_ATAC,B Cells,B Cells_ATAC
48_ATAC,CD14 Mono,CD14 Mono_ATAC,Monocytes,Monocytes_ATAC
49_ATAC,CD4 TCM,CD4 TCM_ATAC,CD4,CD4_ATAC
