Index,cell_type_00,cell_type_01,cell_type,cell_type_02
0_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
1_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
3_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
4_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
5_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
6_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
8_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
9_RNA,NK,NK_RNA,NK,NK_RNA
10_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
11_RNA,Treg,Treg_RNA,CD4,CD4_RNA
12_RNA,NK,NK_RNA,NK,NK_RNA
13_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
15_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
17_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
18_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
19_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
20_RNA,NK,NK_RNA,NK,NK_RNA
21_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
22_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
23_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
24_RNA,NK,NK_RNA,NK,NK_RNA
25_RNA,cDC,cDC_RNA,Dendritic Cells,Dendritic Cells_RNA
26_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
28_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
29_RNA,CD8 TEM_1,CD8 TEM_1_RNA,CD8,CD8_RNA
30_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
31_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
34_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
35_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
36_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
37_RNA,CD8 Naive,CD8 Naive_RNA,CD8,CD8_RNA
38_RNA,CD4 Naive,CD4 Naive_RNA,CD4,CD4_RNA
39_RNA,CD4 TCM,CD4 TCM_RNA,CD4,CD4_RNA
41_RNA,Intermediate B,Intermediate B_RNA,B Cells,B Cells_RNA
42_RNA,CD14 Mono,CD14 Mono_RNA,Monocytes,Monocytes_RNA
43_RNA,CD16 Mono,CD16 Mono_RNA,Monocytes,Monocytes_RNA
