,0,1,2,3,4,5,6,7
0_ADT,0.063568495,-0.09054984,0.05235818,-0.26271138,-0.342598,-0.14791137,-0.20727673,0.1988472
2_ADT,0.24819936,0.102973565,0.25584716,-0.12751117,0.27040192,-0.002600054,-0.43713263,-0.19126156
3_ADT,0.46336028,0.3968748,0.13200404,-0.17481226,0.17120764,-0.15054226,-0.36173216,-0.27108136
7_ADT,0.10444801,0.2489956,0.106318705,0.16442138,-0.5079348,-0.01358943,0.061664846,-0.017740348
10_ADT,-0.05675326,0.27627832,-0.0755885,-0.012960756,0.23061797,-0.073584065,-0.354092,-0.11854184
11_ADT,0.13174006,0.15893728,0.08950952,-0.13589728,-0.2029186,-0.11345874,-0.19506595,0.19794005
14_ADT,0.16197173,0.050716568,0.27201694,0.1679504,-0.3138803,0.092235535,0.17742209,0.08867364
17_ADT,0.082687534,0.29333925,0.13193858,0.32002884,-0.2839612,-0.14212313,-0.271841,-0.27424878
19_ADT,0.3055099,0.69924676,0.17723376,0.56016344,0.0592224,-0.1736603,-0.013687919,-0.17454578
20_ADT,0.3600029,0.5077194,0.082587235,-0.28304407,0.28372172,-0.04562189,-0.17720881,-0.44857404
23_ADT,0.19968674,0.12691301,0.20586129,-0.18632558,0.15257391,-0.11581892,-0.519777,-0.1552836
28_ADT,0.06620109,0.29063994,0.100190446,0.095741704,-0.30995092,0.21449298,-0.21738872,0.24230212
30_ADT,0.22210474,-0.006522638,0.23960812,-0.1309469,-0.08801386,-0.06770958,-0.19006579,0.17122932
32_ADT,0.30704734,0.6201377,0.10124456,-0.44375297,0.20983823,-0.038684,-0.1542575,-0.37458757
40_ADT,-0.10228049,0.15883557,0.122062415,0.007863557,-0.42390224,0.215848,-0.24719271,0.2851937
43_ADT,0.4175826,0.40741643,-0.14086063,-0.62719595,0.2907127,-0.11613485,-0.11638484,-0.25481752
57_ADT,0.13675056,0.07716979,0.31723568,0.17480008,-0.47414073,0.01390746,0.004122225,-0.012080612
61_ADT,0.1233228,0.16605677,0.18126939,-0.32399043,0.103562236,-0.02947216,-0.33773562,-0.17187431
63_ADT,-0.01361762,0.1518478,-0.06253026,0.074032165,0.13078219,-0.10858325,-0.26369667,-0.0007517061
67_ADT,0.1958145,0.18109304,0.16585724,-0.31228247,0.164476,0.04900315,-0.35659784,-0.19614553
68_ADT,0.110392794,0.035150874,-0.05617585,0.023736991,0.055128828,-0.10234646,-0.23467556,-0.013725864
69_ADT,0.189621,0.15108518,0.17133614,0.09921787,-0.38638192,-0.028404476,-0.030243302,0.089255586
76_ADT,-0.011108732,0.2570691,-0.07150576,0.06245297,0.23254958,-0.04275671,-0.39685932,-0.15826927
78_ADT,0.15720172,0.010930884,0.28551632,0.15218432,-0.28436655,0.11449006,0.10761473,0.13090928
93_ADT,0.10109477,0.13194779,0.23340464,0.0050787977,-0.3094662,0.21244702,-0.0005418534,0.22222936
101_ADT,0.21490344,0.08101402,0.2564677,0.08069614,-0.30590367,0.05194926,-0.2107303,0.17655909
104_ADT,0.54304385,0.37592882,-0.01320053,-0.24903394,0.16916454,-0.111973435,-0.2586758,-0.3886536
107_ADT,0.22740617,0.1612475,0.15390684,-0.2787627,0.23023611,0.05011968,-0.44148752,-0.24287203
108_ADT,-0.2565456,0.22559132,0.102081195,-0.044151228,-0.111861646,-0.30186972,0.026902048,0.111515224
123_ADT,-0.08855708,0.17366506,-0.042174287,0.06345598,0.04895848,0.04848964,-0.48540995,-0.32132146
124_ADT,0.14491132,0.12099101,0.1970016,0.21056011,-0.3553616,0.040875446,0.028166628,-0.004373757
127_ADT,0.15644406,0.114486665,0.29239932,0.14766005,-0.36399207,0.14078298,0.12389024,0.14280857
128_ADT,0.19364631,0.21322997,0.2073946,-0.26050308,0.15776731,-0.054293606,-0.416578,-0.27252033
129_ADT,0.4113679,0.489195,0.14452608,-0.2950589,0.31230822,-0.0126339225,-0.2583628,-0.24273996
136_ADT,0.21707982,0.11722995,0.22881347,-0.2412812,0.2923978,0.1084173,-0.37361234,-0.20500267
137_ADT,0.4654464,0.09238101,-0.35849148,0.22671759,-0.0857373,0.27146053,-0.4503956,0.6373261
147_ADT,0.4487062,0.07988807,-0.50633353,-0.05251443,-0.031677634,-0.09606391,-0.047893282,-0.1814634
148_ADT,0.018770559,0.23913799,-0.06987754,-0.0276085,0.25810266,-0.12141644,-0.50429994,-0.101123445
151_ADT,0.48676917,0.26150358,-0.042628832,-0.2201601,0.062053934,-0.099639304,-0.16220203,-0.37196916
155_ADT,0.40178135,0.4655689,0.07014259,-0.268069,0.20845306,0.0036442701,-0.24976662,-0.48136118
161_ADT,0.0040668347,-0.20051531,0.07652516,-0.30834955,-0.40744668,-0.23235431,-0.20922191,0.28538272
162_ADT,-0.24127093,0.13610448,0.36625725,-0.052958924,-0.13912337,-0.29437974,-0.08967795,0.39947554
166_ADT,-0.22277983,0.2950339,0.137389,0.07683834,-0.4173839,0.016339747,-0.4216679,0.30159444
169_ADT,0.11444082,0.106102034,0.29426974,0.22650999,-0.53020954,0.062141027,0.06964173,0.0072078984
173_ADT,0.31367806,-0.031182064,0.09592889,0.38578567,0.7453542,-0.021831991,-0.028827155,0.56593084
174_ADT,0.15011741,0.14621589,0.2648744,0.13418932,-0.35940266,0.18985575,-0.082574256,0.14400223
175_ADT,0.18861495,0.14008267,0.34290463,0.105207674,-0.40982243,0.12343469,-0.10146061,-0.015366336
177_ADT,0.26377073,0.07184537,-0.27986714,0.08926854,-0.14785022,0.23378356,-0.40846494,0.34137407
179_ADT,-0.09779369,0.17398067,-0.105660625,-0.075882204,0.09916711,0.023999376,-0.1892225,-0.19696629
182_ADT,0.10179611,-0.00036464364,0.32219976,0.25676474,-0.35902566,0.21484706,0.16321379,0.24495135
189_ADT,0.19701515,0.03771271,0.25505066,0.21663156,-0.41093212,0.026068,0.08086739,0.03252963
190_ADT,0.026919438,0.5248975,0.104648165,-0.5304876,0.13920061,-0.38625836,-0.13408218,-0.0029771647
194_ADT,0.06554982,0.121571824,0.13643642,0.114442505,-0.3233795,0.08557451,-0.044007976,0.22027785
195_ADT,0.24041153,0.17778738,0.07202222,0.000977093,-0.054178886,-0.001017588,-0.2089985,-0.1040691
203_ADT,0.33693352,0.47986767,0.08657461,-0.22501937,0.16121711,-0.09857531,-0.25121817,-0.35684362
206_ADT,-0.042082928,0.113808036,-0.07186552,-0.02342808,0.11302948,-0.01500355,-0.30858317,-0.042994868
207_ADT,0.13279738,0.1598023,0.3327834,0.08653227,-0.36963305,0.032245155,-0.16940174,0.095960885
209_ADT,0.20818697,0.056465555,0.2854787,0.1784863,-0.3565369,0.048563328,0.037822332,-0.014453316
213_ADT,-0.35837972,0.21027432,0.26781487,0.05686942,-0.1941044,-0.16193679,0.00650463,0.312871
214_ADT,-0.05778031,0.18440649,-0.043221764,-0.025463829,0.25434175,-0.038308594,-0.3375676,0.0093084965
217_ADT,0.50186175,0.2107316,-0.30198,0.08357508,-0.2723379,0.29356503,-0.42205998,0.50904167
219_ADT,-0.027325468,0.17717178,-0.06803579,-0.070312224,0.25770462,0.044361155,-0.46539316,-0.18064626
220_ADT,-0.13676819,0.30305788,0.4226492,-0.25582582,-0.24300233,-0.38038167,0.0010507455,0.27446136
225_ADT,-0.044814143,0.1623684,-0.07345525,-0.0026134944,0.24120326,0.06517826,-0.49212754,-0.192394
227_ADT,0.6229137,0.4456292,-0.002566346,-0.32275388,0.25120506,-0.15305418,-0.27029184,-0.26607522
232_ADT,0.1610751,0.094369575,0.27590755,0.18504462,-0.4237416,0.09452388,-0.028078178,0.09741696
238_ADT,-0.2966349,0.3218589,0.1565196,-0.2587487,-0.6905581,0.33196262,-0.3621931,0.25723764
243_ADT,-0.21269071,-0.28640497,-0.14387374,-0.33244547,-0.53031,-0.06587428,-0.051193234,0.1259247
