,0,1,2,3,4,5,6,7
0_ATAC,0.02338021,0.19687621,0.58920646,-0.04515684,0.07530507,0.08635134,-0.106510855,-0.10248407
2_ATAC,0.055954233,0.16341054,0.42366475,-0.07575257,0.019942783,0.042389683,-0.035866566,-0.15534519
3_ATAC,-0.10772998,0.05294453,0.18238445,-0.114900485,0.17055118,0.08046157,0.17338713,-0.2439455
4_ATAC,0.098277666,0.05640543,0.27255,0.048967186,0.013747312,-0.069261804,0.08053085,-0.1004048
5_ATAC,-0.16640933,0.09236727,0.15506351,-0.18326811,0.14892088,-0.20891862,-0.031672217,0.014081891
8_ATAC,-0.048893064,-0.14233956,0.12322009,-0.030356398,0.1892747,-0.068444625,-0.086521566,0.021144101
10_ATAC,-0.011540116,-0.010186102,0.13350059,0.018457236,0.026765395,-0.13392597,0.029272242,-0.19366372
11_ATAC,0.026293935,0.10691412,0.12835151,0.016053343,0.041046076,-0.15269335,0.05826501,-0.1557051
12_ATAC,0.06079845,-0.033477426,0.13925655,-0.48819605,0.024817936,0.08037549,0.18686825,-0.19559166
13_ATAC,-0.14298636,-0.04681045,-0.07719512,0.32660684,0.14446421,0.21659042,0.38343874,0.1335549
14_ATAC,-0.13935006,0.20876741,0.28409615,-0.17244315,-0.02869884,-0.15071669,-0.26463845,-0.21905659
15_ATAC,-0.36954865,0.096325144,0.031248601,0.39552185,-0.4383217,0.012501105,-0.070808604,-0.14288536
16_ATAC,-0.12163116,0.011201043,0.056023315,-0.08775277,-0.08588168,-0.16839905,0.026277868,-0.33583707
17_ATAC,-0.03624279,0.23011178,0.15066496,-0.09453401,-0.11302687,-0.041274533,-0.16777432,-0.0021389734
19_ATAC,-0.42034498,0.30799904,-0.11606187,-0.3039274,-0.1677509,-0.18769261,0.19944756,0.3394959
20_ATAC,-0.0076028043,0.09480196,-0.013790681,-0.27782965,0.17146708,0.018165598,0.24820377,-0.2745167
22_ATAC,0.031930864,0.16634688,0.18727864,0.034776893,-0.0075603426,-0.12901095,-0.047954902,-0.20540321
23_ATAC,-0.4913591,-0.26096326,-0.42071378,-0.21569787,-0.11211827,-0.35401833,0.06902143,0.0890766
24_ATAC,-0.20563203,0.16584158,0.10360105,-0.5904746,0.17390834,0.005190811,-0.09775221,-0.45652086
25_ATAC,0.09186574,0.4443682,-0.13240953,-0.25741115,-0.49081278,0.35162026,-0.25087106,-0.43172383
26_ATAC,-0.029781999,0.19643481,0.30991352,-0.07578843,-0.048528798,-0.1007348,-0.15545067,-0.23504184
27_ATAC,0.08508984,0.040080268,0.16228317,0.00091751525,0.041569732,-0.055069704,0.14012912,-0.15252635
29_ATAC,-0.081304155,-0.17406286,0.008120284,-0.11960719,0.090352006,-0.14460078,0.08511567,-0.10661456
30_ATAC,0.112152696,0.23549646,0.19945027,-0.063316055,-0.015021622,-0.19890615,-0.042925525,-0.1304508
31_ATAC,-0.07771144,0.16589631,0.11417001,0.07790991,-0.030574001,-0.10658623,0.006956024,-0.28762957
32_ATAC,-0.029040048,-0.14270285,-0.29000357,-0.051357526,0.061418645,0.42362535,0.0038974565,0.17704657
33_ATAC,-0.033495404,0.18570855,0.32134527,0.010919812,-0.03639418,-0.0053078393,0.068154104,-0.28257677
34_ATAC,-0.05035441,0.23123845,0.10045845,-0.15746363,0.16168627,-0.21934867,0.22429666,-0.08198049
35_ATAC,-0.120461546,0.009208713,0.03218634,-0.045082714,-0.08213584,-0.22811556,0.036030732,-0.2155125
36_ATAC,0.14241618,0.10352427,0.37238917,0.005983288,0.0075480863,-0.014422678,-0.120086685,-0.16233435
39_ATAC,0.05330462,0.1820374,0.20080803,-0.32949236,-0.42596713,-0.06043691,0.13708958,-0.5549163
40_ATAC,0.050150715,-0.010118362,0.24915817,-0.09219783,-0.098647006,-0.05343439,0.11662349,-0.1100031
41_ATAC,0.12824748,-0.08639922,0.0958952,0.027591653,0.12659398,0.05445597,0.11971983,-0.15625355
43_ATAC,0.059529133,-0.3988496,-0.59664786,-0.29998282,-0.19855513,-0.035524316,-0.08868526,0.38165656
44_ATAC,-0.09744612,0.1989175,0.20633857,0.0017848187,-0.033808216,-0.012435784,0.035278544,-0.2804775
45_ATAC,0.28607908,0.81884646,-0.46567845,-0.051645298,-0.036986135,0.3724761,-0.14515011,-0.29092276
47_ATAC,0.38032764,0.030651066,0.15316986,-0.029129496,-0.22564393,-0.15611975,-0.17200072,-0.05657458
48_ATAC,-0.035605572,0.033184562,0.058324352,0.049830366,-0.33231542,-0.041338924,-0.1143093,0.23536536
49_ATAC,0.27280566,-0.15012607,0.04737287,-0.17756756,-0.19821084,-0.2169837,0.021892883,-0.039258774
50_ATAC,0.004904113,0.29066682,0.3259292,-0.07385412,-0.021292903,-0.058880534,0.089228116,-0.2025054
53_ATAC,0.022118019,-0.018073216,0.14816591,-0.034288596,0.15334566,-0.027337635,0.1488758,-0.027510984
56_ATAC,-0.49115127,-0.067779176,0.0071529537,0.19601157,-0.25773352,0.26363105,-0.47267044,-0.07295893
59_ATAC,-0.050522998,0.12466062,0.14371105,-0.093271755,-0.14490174,-0.11523978,0.21112542,-0.3028723
60_ATAC,0.035981912,-0.032434568,-0.10482236,0.12175997,0.020968173,0.11150049,0.20291203,0.0015288022
61_ATAC,0.104278594,0.15233701,0.31773368,-0.09291977,0.09579267,0.01847305,0.16646898,-0.039903935
63_ATAC,0.10440709,0.022796549,0.17745402,-0.18424349,0.093778074,-0.08149846,0.11434677,-0.016138116
65_ATAC,0.028720116,0.006130208,0.15854196,-0.07874013,0.13993531,-0.05242113,0.018980885,-0.004648407
66_ATAC,-0.06591938,-0.12898405,0.03561771,-0.119722106,2.6539114e-05,-0.30455106,0.043984935,-0.09925784
67_ATAC,0.013229064,-0.10173604,-0.17745091,-0.057630945,-0.31826368,-0.08026056,-0.19870266,0.34453002
71_ATAC,0.055585057,-0.29467222,-0.14580359,-0.24150419,-0.01868368,-0.27579862,0.12634274,-0.4617083
72_ATAC,-0.28037432,0.08351929,0.24119651,0.04517844,-0.17129588,0.5315677,0.00039000626,0.30841255
75_ATAC,0.07529513,-0.005766731,0.092788175,-0.091294944,-0.18076536,-0.18658486,0.014135757,-0.12819874
76_ATAC,-0.24193957,0.06755746,0.4404089,-0.38846707,-0.09214997,-0.19482705,0.37628847,-0.07753396
77_ATAC,-0.034605987,-0.06665462,0.22791904,-0.09932153,0.17807613,-0.0134115005,-0.0634123,0.040559247
78_ATAC,-0.46448046,0.36684957,0.2076862,0.20886049,0.048111975,0.10295421,-0.405686,0.16830212
79_ATAC,-0.14904852,0.68605757,-0.15161128,0.3405016,-0.01778682,0.27331477,-0.19762355,0.04604945
80_ATAC,0.0013914247,0.2123353,0.046905663,-0.39829597,0.14675209,0.026952123,0.2542291,-0.25815916
81_ATAC,-0.081233405,0.08514797,0.020899216,-0.28870234,0.15578638,0.039345223,0.24444397,-0.33374506
82_ATAC,0.029949406,0.25476894,0.3017038,-0.18253866,-0.3093275,-0.16559611,0.2627038,-0.24863617
83_ATAC,-0.0847308,0.23091751,0.11861431,-0.05359809,-0.15645957,-0.0833629,-0.1511602,0.33277112
85_ATAC,0.08211695,0.22776915,0.2633236,-0.25212732,0.124429256,-0.20173341,-0.016791495,0.1312781
86_ATAC,0.3146495,-0.14309776,0.15068287,0.029435137,0.3798415,0.18657649,-0.21358798,-0.30295217
88_ATAC,0.0355646,0.047583986,0.2371893,0.005871507,0.010185994,-0.13884802,-0.093264,-0.13697866
89_ATAC,-0.10155293,-0.13786158,0.027924677,-0.11660146,0.09795905,-0.21853638,0.16386412,-0.025021305
91_ATAC,-0.21475726,0.19394198,0.36650673,-0.3009018,-0.115145974,0.15167642,-0.2302672,0.12484987
92_ATAC,0.18494225,-0.14935021,0.07300345,0.16355835,0.14235987,0.011617876,-0.27552322,-0.1525458
93_ATAC,-0.38629404,0.026981745,-0.0073368833,-0.23573811,0.035588413,-0.077323094,-0.40853494,0.269269
97_ATAC,0.07491598,0.07866801,0.41101703,0.02396879,0.029396825,0.113447875,0.07588166,-0.17433853
103_ATAC,-0.027366279,-0.10874489,0.08043786,-0.053082,0.16218832,-0.15244566,-0.07866546,-0.0023069095
108_ATAC,0.15583967,0.09708248,0.22102119,-0.08333701,0.05829811,-0.12676895,-0.0052220616,-0.119345404
