,0,1,2,3,4,5,6,7
4_RNA,0.2020432,-0.37817684,0.1322325,-0.19986379,0.07128637,-0.20290332,0.64662325,-0.4133325
6_RNA,-0.033317056,-0.32150367,0.1834407,0.11494323,0.06787997,-0.019252352,-0.052858554,0.19612616
8_RNA,-0.09501395,0.13044672,-0.12444656,-0.31425318,-0.12305117,-0.2096926,-0.12757105,0.30291435
13_RNA,0.0170106,-0.06790982,0.15174083,0.07708325,0.15683247,-0.0141476765,-0.22146441,0.013798514
16_RNA,-0.0245727,-0.17547427,0.017782979,0.07729078,0.14562562,0.087811865,-0.116509385,0.1250913
21_RNA,0.0031837816,-0.17171723,0.06789238,0.08739793,0.09900033,0.090270296,-0.071222834,0.17684363
24_RNA,-0.048342288,-0.18246861,0.030343004,0.07577144,0.114913635,0.036258005,-0.10602064,0.13158722
26_RNA,0.051974814,-0.28358752,0.162397,0.17374052,0.048364542,-0.01322075,-0.07435261,0.25711325
29_RNA,0.16351849,-0.37470278,0.05831059,-0.15408762,0.073871575,-0.25428846,0.5578896,-0.5649256
34_RNA,-0.015115827,-0.22827324,0.10647386,0.10820093,-0.049584962,-0.11380407,0.5103053,-0.30244893
38_RNA,0.01862717,-0.118959226,0.06477202,0.17048372,0.17647463,-0.07246973,-0.06466999,0.12710074
44_RNA,0.54632807,-0.38630098,-0.20190947,0.28549728,0.08630505,1.1156265,0.28111887,-0.32845324
45_RNA,0.07584593,-0.2911374,0.15921138,-0.04023617,-0.07524855,-0.15929174,0.5246386,-0.45183086
47_RNA,0.007855661,-0.24941902,0.112540916,0.054600284,0.10202375,0.027681656,-0.05014706,0.22279474
50_RNA,-0.07708138,-0.026763177,-0.014798723,0.05083684,0.25230703,-0.05009312,-0.015752148,-3.2351818e-06
51_RNA,-0.031243728,-0.16175672,-0.032699175,-0.024717415,0.15123777,0.060970746,-0.13234363,0.038791463
53_RNA,0.15603742,-0.08002323,0.26735467,0.11298197,0.17401485,-0.22672093,-0.26316154,-0.0691727
54_RNA,-0.03992376,-0.24134196,-0.0064688553,0.069853,0.042917594,0.092024736,-0.13564724,0.18948595
58_RNA,0.1634756,-0.21826775,0.060318924,-0.3062296,0.060416415,-0.13471885,0.6059033,-0.43304536
60_RNA,-0.061364535,0.03932512,0.5014993,-0.053235073,-0.08786641,-0.3101133,0.5200377,-0.65352297
80_RNA,0.077597395,-0.08428131,0.13145377,0.052302446,0.1454219,-0.17678262,-0.2109149,-0.05741521
82_RNA,-0.042561125,-0.27556822,0.23031221,0.09149101,-0.10873349,-0.20213944,0.650066,-0.46240234
83_RNA,0.06492167,-0.093490005,0.21184489,0.15581729,0.10513136,0.08831222,-0.048520904,0.26294017
86_RNA,0.055314157,-0.13966429,0.19489862,0.11834301,0.16345222,-0.0016135944,-0.10753342,0.20065641
87_RNA,0.15084663,0.062189057,0.22364877,0.25552034,0.14031382,-0.16465127,-0.14426255,0.050357126
89_RNA,-0.07502591,0.02772911,-0.01756204,-0.17266218,-0.11906077,-0.19567682,-0.039436005,0.26766673
90_RNA,0.17634018,-0.20326783,0.3196291,-0.25173426,0.48045897,-0.03274838,-0.35813934,-0.061486818
92_RNA,0.053507652,-0.2502043,0.03175115,-0.0697315,0.03713528,-0.15822174,0.19404481,-0.15200351
95_RNA,-0.011789065,-0.14121497,0.079942726,0.05430429,0.1451357,-0.018598594,-0.106203325,0.002308654
98_RNA,0.015202582,-0.116562694,0.019315042,0.17318054,0.14144926,0.05574166,-0.09294369,0.17669173
103_RNA,-0.0073117116,-0.17903091,0.022648215,0.07972353,0.14332017,-0.053011775,-0.043531965,0.04503636
105_RNA,0.03853379,-0.14088054,0.1041886,0.19065207,-0.07261823,-0.073759586,0.41371948,-0.5375099
109_RNA,0.023188742,-0.22271065,0.055629544,0.05117193,0.06175337,0.0014538842,-0.034478012,0.15391618
110_RNA,-0.32294688,-0.4388958,-0.06014218,-0.44221634,0.26524323,0.6214205,-0.10298884,-0.4564019
113_RNA,-0.015349168,-0.15668479,0.06771248,-0.006285283,0.081677526,-0.030789435,-0.17897236,0.115988135
114_RNA,0.15324804,-0.30522412,0.20004624,-0.10011227,-0.05715899,-0.09518612,0.5058108,-0.392809
115_RNA,-0.08741318,-0.13156031,0.013070114,0.08482563,0.12092099,0.003997214,-0.09941584,0.006682815
117_RNA,0.019410316,-0.17987756,0.2519591,-0.071820356,0.15523763,-0.14364655,-0.28869945,-0.101959355
119_RNA,0.102424905,-0.074280545,0.053709812,0.068085335,0.049021102,-0.010496907,-0.07806979,0.18087699
126_RNA,0.024169926,0.017927604,0.055265956,0.17926314,0.18353434,0.018438973,-0.07075533,0.14906271
133_RNA,0.09335716,-0.06362639,0.101298414,0.25703806,0.09563336,0.09415979,-0.112651594,0.22724937
138_RNA,-0.014804412,-0.09834796,-0.01293207,0.081095874,0.15200675,-0.009592138,-0.073355764,0.12118444
140_RNA,-0.03613018,-0.18096413,-0.001936503,0.040206257,0.09267787,0.012201443,-0.06769494,0.072951
141_RNA,-0.11989717,-0.090798214,-0.13635732,-0.28279215,-0.087068,-0.061998874,-0.09848104,0.3544625
144_RNA,0.05217549,-0.16475768,0.17953153,0.13372296,0.0955343,0.025821172,-0.12064626,0.22169484
146_RNA,0.3604535,1.21998,0.1501155,-0.1870527,0.60439986,-0.09406983,0.5355128,0.46968052
150_RNA,0.08492844,-0.28019893,0.15998949,-0.059714373,-0.041250676,-0.18892838,0.3760882,-0.3915587
