,0,1,2,3,4,5,6,7
0_RNA,-0.30765715,-0.31502622,-0.010196164,0.3019385,0.007652814,0.26083463,0.7327474,-0.2248805
1_RNA,-0.10290514,-0.04738142,0.019235328,0.4080853,-0.4286877,0.17323,0.39948773,-0.34203476
3_RNA,-0.3107669,-0.1728516,0.030403312,0.14039546,-0.11350449,0.09193029,0.72453934,-0.1526752
4_RNA,-0.091862805,-0.20740594,-0.01107683,0.05715491,-0.008154948,0.15352412,0.52718323,-0.16964315
5_RNA,-0.71539813,-0.07785213,0.18697688,0.6415584,-0.37148786,0.3860729,0.7104886,-0.098724335
6_RNA,0.13312994,-0.2075272,-0.011331193,0.2237332,-0.34781092,0.27509737,0.588213,-0.40130028
8_RNA,-0.22298837,-0.13488336,-0.11632218,0.29274043,-0.19446117,-0.12806784,0.5013045,-0.101180725
9_RNA,-0.16419926,0.66806614,0.04741613,0.21409824,0.102024965,0.53219706,0.14393896,0.053089984
10_RNA,-0.08211088,-0.14655717,-0.023487456,0.08059097,-0.02879577,0.11428399,0.28486785,-0.08027836
11_RNA,-0.3836092,-0.3658275,-0.019749105,-0.008135328,-0.12093452,0.16769905,0.35190037,-0.18304388
12_RNA,-0.4927845,0.73285306,-0.2540585,-0.024360204,0.040546294,0.588932,0.35269782,-0.35711685
13_RNA,0.44576716,0.19198902,-0.121535785,-0.12650427,0.061236154,-0.8539897,-0.90282005,0.52465016
15_RNA,0.7735439,0.41983882,0.2307107,-0.42967492,0.4536407,-0.6335681,-0.75956434,0.52900773
17_RNA,0.4868246,0.25801155,0.027818847,-0.16618241,-0.13858308,-0.3410082,-0.56369585,0.09749022
18_RNA,0.5958919,0.11388789,0.24835908,-0.037892424,0.1477906,-0.50840443,-0.68195635,0.84547657
19_RNA,0.32481384,-0.13444774,-0.7907523,-0.03882549,0.37841046,-0.6237772,-0.55565643,0.2328905
20_RNA,0.004124505,0.334216,-0.091857255,0.1810787,-0.06341031,0.19339953,0.048734397,-0.0040564076
21_RNA,-0.1990083,-0.13873658,-0.121639214,0.17839557,-0.13999422,0.07772584,0.49381536,-0.1370575
22_RNA,-0.00091796217,-0.29977456,0.10456873,0.15033174,0.13333468,0.33218434,0.23146586,-0.44943213
23_RNA,0.4306144,-0.5024158,-0.74927044,0.017758107,0.5849359,-0.8510362,-0.32280126,0.18281093
24_RNA,-0.45748195,0.5208478,0.1707109,0.159235,0.075824015,0.65038884,0.27500755,-0.24103148
25_RNA,0.51440984,0.5314888,-0.17049696,-0.7165032,0.05785064,-0.84112257,-0.4187794,0.32673916
26_RNA,-0.12525105,-0.23846187,-0.014486685,0.22841173,-0.0913728,0.3460792,0.49716243,-0.27863255
28_RNA,0.89825946,0.48215815,-0.112252824,-0.42298695,0.09475448,-0.804397,-0.9726804,0.620639
29_RNA,-0.074335076,0.013449602,-0.11284859,0.36576605,-0.4214487,0.10895351,0.6717976,-0.19207643
30_RNA,-0.08839203,-0.5075062,0.110552914,0.3203204,0.25298616,0.56782585,0.16754955,-0.5104597
31_RNA,0.0061671375,-0.20539564,-0.05636008,0.3056143,-0.049003925,0.23945983,0.4539143,-0.21572925
34_RNA,-0.17035915,-0.10118626,0.030090913,0.040437303,-0.09177647,0.0828803,0.53545266,-0.08496175
35_RNA,0.0004921794,-0.066426486,-0.043643698,0.18047893,-0.325951,0.38560238,0.39029816,-0.071216226
36_RNA,-0.3044614,-0.32087412,0.014184445,0.24642643,0.1454064,0.23836215,0.49742225,-0.19805126
37_RNA,-0.13616824,-0.111799225,-0.052325867,0.24994174,-0.14890704,-0.035081383,0.5620659,-0.1537145
38_RNA,-0.01898556,-0.36730802,0.13135229,0.051267214,0.15932214,0.45800248,0.19680302,-0.57697654
39_RNA,-0.15020771,-0.3106847,-0.05027739,0.06177234,-0.562935,0.26034644,0.39316335,-0.5788084
41_RNA,-0.50819546,-0.20924108,-0.05242356,-0.3178118,-0.048856195,0.1780741,0.023727302,0.22225617
42_RNA,-0.3587621,-0.09231869,0.29446152,0.11889652,-0.19727358,0.26272985,0.71745867,-0.2677943
43_RNA,0.7604989,-0.02875643,-0.5670179,-0.49896526,0.80712956,-1.0195402,-0.505271,0.19304508
44_RNA,-0.14363928,-0.21246481,0.030413896,0.19288325,-0.0137578,0.28246593,0.4595146,-0.24780695
45_RNA,0.25404698,-0.011420669,-0.0045182705,-0.6504415,0.025722923,-0.74844694,0.12532961,0.116995245
47_RNA,-0.43637255,-0.48303545,-0.28435233,-0.37887183,-0.51047,0.14826643,0.20511197,0.040598053
48_RNA,0.7672723,0.3365572,-0.18226744,-0.45095578,0.29250908,-0.5511453,-0.7261658,0.24032518
49_RNA,-0.0333867,-0.09038563,0.12254823,0.24932843,-0.57063377,0.18551697,0.5000204,-0.57478803
50_RNA,-0.20231174,-0.2613266,0.09643811,0.052775927,0.070145644,0.31773144,0.54298097,-0.26509544
51_RNA,-0.13391972,0.8751457,0.006108884,0.21975026,0.14298534,0.41810772,0.33322313,-0.080979906
52_RNA,0.08883984,-0.0025851112,-0.12469116,-0.7801633,0.079356395,0.45206252,-0.39870504,0.35126337
55_RNA,0.4167177,-0.07438481,-0.71127146,-0.17755711,0.28127366,-0.70321035,-0.45931444,0.18714066
56_RNA,0.76578844,0.1959276,0.058000825,-0.22925657,0.2419838,-0.21562912,-0.8723774,0.5309502
58_RNA,-0.038929775,-0.3370227,-0.087199375,0.18450749,0.078951865,0.29486933,0.2681596,-0.260353
61_RNA,-0.14700755,-0.1350403,-0.011613775,-0.09110379,-0.03680286,0.14958258,0.5113324,-0.119186476
63_RNA,-0.29367152,-0.10951923,0.10990934,0.16833699,-0.1866267,0.029194716,0.6234883,-0.17511795
64_RNA,-0.36182755,0.15641029,-0.7917863,-1.3236136,-0.84042674,0.66474044,-0.5084229,-0.64775145
65_RNA,-0.12526342,-0.023748493,-0.003021881,0.17537452,-0.15409102,-0.01119775,0.4999638,-0.18328166
68_RNA,0.01668393,-0.062104918,0.1705027,-0.0761744,-0.21818106,0.24702315,0.61356884,-0.40938774
69_RNA,-0.3631124,-0.100759186,0.13734142,0.12372192,-0.15299118,0.1142007,0.6217948,-0.16188952
70_RNA,0.0061469614,-0.22364552,-0.057678327,0.16160351,-0.16433384,0.28196266,0.56820685,-0.29717785
71_RNA,-0.05157701,0.42906454,0.33692953,0.2253398,-0.48924404,0.32364833,0.04471514,-0.1678697
74_RNA,-0.38183913,-0.27096617,-0.68133587,-0.8598617,-0.04082751,0.48862764,0.012054164,0.21187834
75_RNA,-0.05253441,-0.11174387,-0.007411383,0.11892373,-0.27157545,0.21294452,0.412347,-0.33797637
76_RNA,-0.3290819,0.3034105,-0.35286406,-0.020130428,-0.45320535,0.13927688,0.36577025,-0.2227748
77_RNA,-0.27414146,-0.0890927,-0.0118301585,0.3373115,-0.20936325,-0.064682424,0.5250178,-0.13339843
80_RNA,-0.09599452,0.47303167,-0.0018921905,0.23171344,-0.001010125,0.25078112,0.09012188,-0.034276713
85_RNA,-0.4914393,-0.04382974,0.30464712,0.22239423,-0.20505287,0.24191956,0.80719554,-0.13817205
86_RNA,-0.3354648,-0.25157353,-0.4811525,-0.7884305,-0.004239877,0.54318005,-0.012138408,0.28671572
88_RNA,-0.04590346,-0.16572854,-0.022037115,0.21431123,0.023179123,0.093878314,0.35731778,-0.238376
90_RNA,-0.3533657,-0.54266715,-0.34037337,-0.35399997,-0.12700135,0.34557483,0.1018089,0.70214707
91_RNA,0.657769,0.33150843,-0.41745725,-0.501127,0.083414145,-0.73521,-0.49784076,0.18914191
92_RNA,-0.5407938,-0.33632788,-0.07304344,-0.3123333,0.017394906,0.32907382,0.19142245,0.29832217
93_RNA,0.5834784,0.14990936,-0.5270038,-0.0755332,0.09045301,-0.5000959,-0.6604224,0.28462365
94_RNA,0.58404976,0.1373627,-0.37681264,-0.2794634,0.12896386,-0.54768366,-0.47941417,0.281566
96_RNA,0.33322302,0.2762344,-0.4366706,-0.15012786,0.014662224,-0.5296201,-0.29259622,0.079451874
97_RNA,-0.10123274,-0.14803295,-0.10896928,0.2303268,-0.018145641,0.05413239,0.2231371,-0.053588737
100_RNA,-0.27256382,0.32064658,-0.23070972,0.03670516,-0.35828668,0.11519354,0.19700436,-0.24790606
101_RNA,0.8389317,0.4496904,-0.17521836,-0.33793977,0.025032664,-0.36617428,-0.9379852,0.36051157
102_RNA,-0.62420326,-0.17733228,0.07921999,0.5346864,-0.11408105,0.21699296,0.63081115,-0.0069108275
103_RNA,-0.32446957,-0.014706286,0.17677678,0.1892524,-0.21975662,0.11948522,0.50230545,-0.2141646
104_RNA,1.0121297,0.26784652,-0.08998313,-0.7349764,0.11521479,-0.68743193,-1.2222462,-0.09094344
106_RNA,-0.08229122,-0.37611285,-0.11731958,0.21879873,0.15887247,0.2655976,0.34535047,-0.25536498
107_RNA,0.41963437,-0.28999922,-0.92439556,-0.0220669,0.5291404,-0.7675977,-0.4886573,0.1414578
