,0,1,2,3,4,5,6,7
0_ATAC,0.0885,0.0964,0.3344,-0.1846,0.289,-0.0256,0.0007,0.0962
1_ATAC,-0.0482,0.1276,0.0553,-0.0518,-0.1753,0.1808,-0.3392,0.0122
2_ATAC,0.0628,0.1202,0.2699,-0.1499,0.1869,0.0031,-0.0401,0.0906
3_ATAC,-0.0963,0.281,0.0837,-0.0596,0.1294,0.1444,0.029,-0.1076
4_ATAC,0.0299,0.1344,0.1293,-0.1753,-0.0525,-0.0635,-0.0941,-0.0974
5_ATAC,0.2123,0.132,0.1432,0.3322,0.3,0.1492,-0.1279,-0.0157
6_ATAC,0.1375,0.0944,0.3165,-0.1354,-0.1616,0.3144,-0.2025,0.1247
7_ATAC,-0.3863,0.029,-0.3497,-0.4942,0.235,0.2919,-0.2546,0.3605
8_ATAC,-0.0277,0.0778,0.0615,0.1473,0.1876,0.2203,-0.0288,-0.1091
9_ATAC,0.2307,0.1437,-0.2567,0.5124,-0.1469,-0.0736,-0.1181,-0.2278
10_ATAC,0.1125,0.0877,0.0669,-0.0685,-0.0312,0.0941,-0.0336,-0.1697
11_ATAC,0.1811,0.1029,0.0699,-0.0688,-0.0015,-0.0306,-0.0543,-0.1475
12_ATAC,0.0487,0.2046,-0.2765,0.4085,-0.1445,0.0701,0.0021,-0.0243
13_ATAC,0.0371,-0.1247,-0.2955,-0.1581,-0.2039,-0.5199,0.1275,0.2517
14_ATAC,0.4458,-0.0299,0.3001,0.1758,0.2695,0.1739,0.1037,0.1894
15_ATAC,-0.1523,-0.4458,0.0525,0.3032,0.0042,-0.352,0.0449,0.4177
16_ATAC,0.3821,0.1032,-0.0068,-0.0078,-0.0486,0.2615,0.0485,-0.1477
17_ATAC,0.1639,-0.2159,0.075,0.0673,0.0958,-0.0063,0.1307,0.0488
18_ATAC,-0.1994,-0.4468,-0.1794,-0.0551,0.3324,0.3522,0.1848,0.2077
19_ATAC,-0.183,-0.0617,-0.184,-0.1669,0.2362,0.2061,-0.5053,0.3681
20_ATAC,0.1597,0.1757,-0.2381,0.289,-0.1138,-0.1029,-0.1724,-0.2687
21_ATAC,-0.0408,0.2592,0.038,0.0114,0.2013,0.0081,0.0213,-0.0694
22_ATAC,0.2617,0.0575,0.0844,-0.0505,0.0602,-0.0787,0.0027,-0.0687
23_ATAC,-0.3963,0.0668,-0.3581,-0.6804,0.2062,0.6291,0.0367,0.1889
24_ATAC,0.5839,0.019,-0.2042,0.6508,0.1673,0.0043,-0.1184,-0.1016
25_ATAC,0.0228,-0.8564,0.0851,0.308,0.1967,0.1391,-0.573,-0.267
26_ATAC,0.3241,0.0317,0.2322,-0.0954,0.168,0.0574,-0.0516,0.0217
27_ATAC,0.0073,0.1748,0.0219,-0.0842,-0.061,-0.0438,-0.0185,-0.0974
28_ATAC,-0.1583,-0.3076,0.0274,-0.0222,0.0651,-0.3512,-0.1878,0.0297
29_ATAC,0.0689,0.1448,-0.0464,0.0229,-0.078,0.2098,-0.159,-0.1094
30_ATAC,0.2726,0.0677,0.0839,0.0603,0.0556,-0.2202,-0.0899,0.041
31_ATAC,0.3152,0.1076,-0.0015,-0.0494,0.0744,-0.0044,0.1178,-0.1469
32_ATAC,0.0413,-0.2407,-0.0985,-0.031,0.3627,0.2204,0.076,-0.038
33_ATAC,0.2055,0.1624,0.138,-0.2147,0.0812,0.0094,0.1223,-0.055
34_ATAC,0.2037,0.2598,0.0434,0.1699,0.1303,-0.1643,-0.1132,-0.0797
35_ATAC,0.3016,0.0979,0.0842,0.0073,-0.0404,0.2233,-0.1057,-0.109
36_ATAC,0.0915,0.0393,0.1965,-0.222,0.0561,-0.0905,-0.0803,-0.0155
37_ATAC,-0.0022,0.1656,-0.0082,0.0217,0.0958,0.0823,0.0382,-0.1054
38_ATAC,0.5368,0.1187,0.0054,0.0448,-0.0339,0.0675,0.125,0.0331
39_ATAC,0.4461,0.2152,-0.0959,0.0916,-0.2413,0.1485,0.483,0.1933
40_ATAC,0.0058,0.1869,0.1258,-0.136,-0.1135,0.1614,-0.025,0.0284
41_ATAC,-0.1531,0.1258,-0.0358,0.045,-0.1518,0.0479,0.0437,-0.2277
42_ATAC,-0.0187,0.1238,0.1123,0.2165,0.1587,0.0529,-0.184,-0.0368
43_ATAC,0.5546,-0.6177,0.1844,-0.2042,0.3803,0.1599,0.0638,0.0155
44_ATAC,0.2436,0.1552,0.0537,-0.0788,0.1286,0.0526,0.191,-0.0794
45_ATAC,-0.5247,-0.3943,-0.7091,0.0493,0.6189,-0.0846,-0.2442,-0.4458
46_ATAC,0.0184,0.1713,0.0845,0.3195,0.1505,-0.1138,-0.1719,0.0489
47_ATAC,-0.05,0.0396,0.1424,0.3093,-0.1211,0.1713,-0.0737,0.2617
48_ATAC,0.1944,-0.3513,-0.018,0.0503,0.3058,-0.3215,0.2262,0.1179
49_ATAC,0.0512,0.1467,-0.043,-0.1175,-0.368,0.0654,-0.1763,0.158
50_ATAC,0.1999,0.2086,0.1413,-0.0914,0.0814,-0.0987,0.0168,0.0596
51_ATAC,0.1858,0.143,-0.2528,0.2718,-0.0368,-0.0698,-0.2013,-0.3271
52_ATAC,-0.002,-0.1547,-0.1552,0.1232,-0.2066,0.4365,-0.0954,-0.3237
53_ATAC,-0.1119,0.2225,-0.0068,0.0386,0.0585,-0.0206,-0.0133,-0.1452
54_ATAC,-0.038,0.1236,0.0844,0.1065,0.2929,0.1197,0.0138,-0.0725
