,0,1,2,3,4,5,6,7
0_RNA,0.7758,0.5021,-0.0857,0.3797,0.1954,-0.5654,-0.449,-0.4123
1_RNA,0.4353,0.2922,0.0477,0.2747,-0.2588,-0.5591,-0.0865,-0.2382
2_RNA,0.6084,0.4606,-0.1354,0.2503,0.1894,-0.5261,-0.4009,-0.457
3_RNA,0.8552,0.2692,-0.0968,0.1024,0.0866,-0.4244,-0.3806,-0.3495
4_RNA,0.505,0.2699,-0.1017,0.141,0.1586,-0.3975,-0.3262,-0.1641
5_RNA,1.2739,0.2885,0.3879,0.5628,-0.2982,-0.8064,-0.4434,-0.8851
6_RNA,0.4361,0.4062,-0.1221,0.1352,0.0233,-0.7597,-0.3217,-0.0762
7_RNA,-0.0724,-0.3687,-0.182,-0.3483,-0.3073,0.9951,0.1993,-0.082
8_RNA,0.6307,0.2443,0.1247,0.1238,0.0001,-0.0834,-0.2549,-0.1406
9_RNA,0.0066,-0.4533,0.3381,0.0053,-0.3563,-0.1517,-0.0296,-0.6966
10_RNA,0.2874,0.1312,0.0632,0.1196,0.028,-0.305,-0.1923,-0.2831
11_RNA,0.4807,0.283,-0.0725,-0.0856,-0.0008,-0.3593,-0.2123,-0.587
12_RNA,0.5075,-0.5579,0.3024,-0.5184,-0.3295,-0.1894,-0.0882,-0.447
13_RNA,-0.5958,-0.1295,0.1609,-0.1095,0.2508,0.914,0.4915,0.3641
14_RNA,0.7358,0.4161,0.266,0.4317,-0.0752,-0.7052,-1.0661,-0.3902
15_RNA,-0.7848,-0.5395,0.5289,0.0887,0.2092,0.7675,0.7777,0.4453
16_RNA,0.4973,0.334,0.1585,0.1764,-0.0974,-0.8249,-0.6254,-0.0997
17_RNA,-0.3329,-0.2471,-0.0044,0.0115,0.3669,0.1417,0.3633,0.3588
18_RNA,-0.8972,-0.2543,0.4223,0.2876,0.0219,0.7419,0.2329,0.3421
19_RNA,-0.3023,-0.2966,-0.2955,-0.2209,-0.286,0.9788,0.3637,0.0785
20_RNA,0.0356,-0.1968,0.2956,0.0194,-0.1667,-0.1505,0.089,-0.2854
21_RNA,0.5457,0.2385,0.0618,0.0592,0.0378,-0.2309,-0.2661,-0.2375
22_RNA,0.3027,0.1465,0.1336,0.3002,-0.0853,-0.5155,-0.7396,-0.2779
23_RNA,-0.1137,-0.2256,-0.2171,-0.3677,-0.3436,1.1365,0.2442,-0.1606
24_RNA,0.2243,-0.3322,0.2255,-0.2161,-0.3347,-0.2525,-0.2504,-0.6743
25_RNA,-0.8548,-0.3126,0.3512,-0.5779,-0.0134,0.4309,0.6005,0.8517
26_RNA,0.4894,0.3527,0.0158,0.2629,0.0066,-0.6046,-0.4217,-0.3272
27_RNA,0.2006,0.2164,0.0784,0.237,0.108,-0.2757,-0.3388,-0.1229
28_RNA,-1.002,-0.5752,0.2941,-0.2169,0.3248,0.786,0.5622,0.6542
29_RNA,0.6649,0.2139,0.1764,0.1314,-0.0193,-0.4672,-0.1359,-0.0691
30_RNA,0.1409,0.2992,0.257,0.5308,0.0115,-0.6369,-0.9965,-0.5753
31_RNA,0.3739,0.4104,0.0111,0.3773,0.1159,-0.5175,-0.3091,-0.188
32_RNA,-0.4576,-0.3832,0.2295,-0.2455,0.0126,0.523,0.5023,0.433
33_RNA,0.4703,0.1528,-0.1156,0.0559,0.1683,-0.5043,-0.3253,-0.2131
34_RNA,0.6359,0.1174,0.0193,0.0523,0.1165,-0.3189,-0.2938,-0.1744
35_RNA,0.4554,0.3201,0.165,0.1659,-0.0462,-0.7166,-0.1706,-0.2055
36_RNA,0.4929,0.4599,-0.146,0.4148,0.2014,-0.4224,-0.3153,-0.4652
37_RNA,0.6102,0.2567,0.0132,0.1907,0.0914,-0.2481,-0.2756,-0.1006
38_RNA,0.2244,0.0446,0.1406,0.2451,-0.2244,-0.5674,-0.939,-0.2968
39_RNA,0.5365,0.3511,-0.1058,-0.2068,-0.473,-0.6831,-0.431,-0.3659
40_RNA,0.5339,0.5772,-0.1944,0.3499,-0.1279,-0.8397,-0.3654,-0.1601
41_RNA,0.1308,-0.1967,0.3841,0.3108,0.0368,0.1382,-0.3864,0.6205
42_RNA,0.9249,0.1151,-0.1326,0.2309,-0.018,-0.7,-0.3505,-0.4132
43_RNA,-0.2751,-0.6206,0.1431,-0.3682,-0.1579,1.1519,0.6556,-0.0635
44_RNA,0.4423,0.3236,-0.0486,0.3188,0.0357,-0.5054,-0.3895,-0.2932
